FID,CV200320,CV200401,CV200407,CV200416,CV200423,CV200430,CV200507,CV200514,CV200520,CV200528,CV200604,CV200611,CV200618,CV200624,CV200702,CV200707,CV200715,CV200721,CV200730,CV200805
"6866",-1.28809204101574,4.09828491210974,4.26215118408241,9.25322265625083,4.31037719726601,11.5948376464854,16.8455554199234,25.4335156250023,40.6602929687536,52.5197363281281,67.349033203125,63.2257080078125,72.8759375,55.7268554687516,45.6110742187473,53.8079980468718,35.2557153320334,29.0551098632821,35.2052832031219,-0.765656585693293
"6867",-1.29798797607433,4.25752807617225,4.87939758300825,10.0494909667978,5.58351379394581,12.7183544921886,17.8596997070328,27.7207055664087,43.5736718750039,56.0140429687533,69.9167724609375,68.2502490234375,77.156591796875,61.3929003906268,54.1350292968718,59.8008691406215,41.0151318359399,33.0671264648447,38.7174365234341,-1.5201492309569
"6868",-1.26291389465343,4.13051605224646,4.51714538574259,9.48986877441491,4.579046325684,11.4980615234385,16.0616894531264,27.9157324218775,43.0886669921913,56.1980175781283,71.2141845703125,70.74037109375,79.905224609375,64.8498779296894,59.2262792968715,63.2748339843713,43.4600781250026,35.1850268554698,40.1124584960902,-2.10458389282208
"6869",-1.28551177978527,3.97583679199254,4.41252441406289,9.16861999511801,4.67734375000042,9.71218383789149,15.3312219238295,27.481762695315,41.7992724609412,55.2290478515658,69.58359375,68.753564453125,78.65150390625,63.2784228515643,58.0961523437466,62.6003417968713,41.8230078125025,33.527089843751,39.991577148434,-1.83994445800765
"6870",-1.36030136108411,3.99635894775426,4.45748901367227,8.90565856933673,4.01920776367223,8.27818237304761,14.9289038085951,25.663981933596,36.5414965820345,50.3670361328155,67.9771533203125,65.4404296875,75.5607373046875,60.2446386718767,57.6307421874966,63.4521533203087,41.7037011718775,32.0573486328134,39.8161108398403,-1.82935531616195
"6888",0.160203666687026,6.58998046875059,4.31831542968789,9.61175781250086,7.33800415039128,12.0212463378917,20.8123754882831,28.6910668945338,43.1087939453163,63.7288671875038,70.419755859375,73.0767236328125,79.128359375,64.9339892578144,65.6393066406212,65.6579296874961,39.7085058593774,32.3659082031259,47.1141357421834,0.779612121581963
"6889",0.180438117980973,6.61157836914122,4.25339263916054,9.30997741699302,7.16163085937564,11.5568151855479,21.1575439453144,28.2918237304713,43.7111279296914,65.3243359375039,71.762939453125,75.1134716796875,81.0110986328125,66.9025488281269,68.4919580078085,67.2085107421835,41.74612792969,35.019560546876,50.5144775390581,0.879492340087814
"6890",0.138546371459973,6.51928527832089,4.49780517578165,9.69851440429774,7.99393493652415,13.2856958007824,22.701083984377,31.1256542968778,46.3831054687541,67.676718750004,73.760078125,77.345810546875,81.86951171875,67.736826171877,68.8738720703085,67.729619140621,43.3003515625026,35.1637622070323,50.9593359374956,0.944894866943277
"6891",0.139819335937512,6.46468261718808,4.40819641113321,9.53869995117273,8.40136291503981,13.5025390625012,23.1460864257833,30.6272802734402,49.2801513671919,69.2036767578166,75.575615234375,78.892275390625,83.647060546875,69.1264111328145,69.8770166015584,68.8267822265584,45.3226708984402,35.707998046876,53.7960351562453,1.04210113525381
"6892",0.030162706375125,6.46299682617245,4.38751159668008,9.19281555175863,7.54696777343817,12.5425292968761,21.6610742187519,30.1114013671902,46.5194482421917,68.2160595703165,75.2128515625,78.2562646484375,83.9388671875,69.093339843752,72.4318310546833,71.5570214843708,46.0705078125028,35.7315747070323,54.3766943359327,0.481800460815388
