FID,avEG200309,avEG200320,avEG200401,avEG200407,avEG200416,avEG200423,avEG200430,avEG200507,avEG200514,avEG200520,avEG200528,avEG200604,avEG200611,avEG200618,avEG200624,avEG200702,avEG200707,avEG200715,avEG200721,avEG200730,avEG200805
"5971",-0.018090868368745,-0.015060131438076,-0.008868183009326,0.030938167124987,0.034813147038221,0.049210328608751,0.078346148133278,0.093399584293365,0.111602626740932,0.132978156208992,0.206258207559586,0.251903086900711,0.2922642827034,0.255002319812775,0.273516178131104,0.21170674264431,0.199836999177933,0.099108196794987,-0.010091722011566,-0.036993432790041,-0.016128238290548
"5972",-0.017876552417874,-0.015067465603352,-0.005639477167279,0.028687426820397,0.035489309579134,0.049511935561895,0.074542924761772,0.096113979816437,0.114167906343937,0.139442190527916,0.217252373695374,0.257799178361893,0.300430446863174,0.260244399309158,0.273563086986542,0.21712052822113,0.204694554209709,0.104549780488014,-0.008127969689667,-0.039863809943199,-0.013670844957232
"5973",-0.018429541960359,-0.015506582334638,-0.006007010582834,0.024183612316847,0.033729661256075,0.050655227154493,0.078254692256451,0.091961584985256,0.115826740860939,0.136111468076706,0.212037399411201,0.260644286870956,0.30440691113472,0.272982150316238,0.280365616083145,0.224046885967255,0.217752113938332,0.11861065030098,-0.000889705319423,-0.040214575827122,-0.011772959493101
"5974",-0.019592896103859,-0.013292756862938,-0.004716950468719,0.023541292175651,0.037508364766836,0.044737778604031,0.079467192292213,0.090737819671631,0.12261737883091,0.136933133006096,0.20435719192028,0.259524196386337,0.296446442604065,0.265909522771835,0.273608088493347,0.220247700810432,0.212692484259605,0.113227672874928,-0.003891569562256,-0.041739545762539,-0.003737585386261
"5975",-0.017298687249422,-0.013175523839891,-0.005515957251191,0.02374467626214,0.03585858643055,0.047814402729273,0.075968973338604,0.091259881854057,0.117714956402779,0.13601678609848,0.202599734067917,0.267064929008484,0.295927703380585,0.26186341047287,0.27302622795105,0.223426297307014,0.217561095952988,0.131681725382805,0.005503317341208,-0.038638487458229,-0.005513891577721
"5976",-0.018518589437008,-0.017295120283961,-0.006920287851244,0.020224718376994,0.03214480355382,0.044135857373476,0.075552843511105,0.086434945464134,0.113864213228226,0.134539529681206,0.208829000592232,0.271057158708572,0.307569861412048,0.273011177778244,0.285865604877472,0.226120054721832,0.223707482218742,0.130690842866898,0.007604255340993,-0.03874546661973,-0.012023231945932
"5977",-0.018315196037292,-0.016170715913177,-0.01126026827842,0.020347591489553,0.028497464954853,0.038355335593224,0.07332468777895,0.086614705622196,0.115195468068123,0.140041545033455,0.217120319604874,0.278742372989655,0.320576161146164,0.282822161912918,0.29133865237236,0.232603162527084,0.228472039103508,0.137544795870781,0.000237498199567,-0.040170975029469,-0.019403165206313
"5978",-0.019123703241348,-0.017915856093168,-0.006905172951519,0.02150084450841,0.030286462977529,0.044441819190979,0.074400208890438,0.092667110264301,0.120471008121967,0.135196849703789,0.220328763127327,0.277980893850327,0.315402120351791,0.284041404724121,0.293686360120773,0.225759252905846,0.208378404378891,0.100907787680626,-0.005830042529851,-0.041369866579771,-0.01782326027751
"5979",-0.017852062359452,-0.018708884716034,-0.010121691040695,0.019125139340758,0.02999641187489,0.043396983295679,0.069229908287525,0.084509074687958,0.112028241157532,0.136790290474892,0.216472744941711,0.275960206985474,0.311150670051575,0.282131224870682,0.298552364110947,0.223578989505768,0.206279024481773,0.099950462579727,-0.001807037973776,-0.042209398001432,-0.016539113596082
"5980",-0.016228644177318,-0.016138145700097,-0.015499024651945,0.021977584809065,0.026860237121582,0.04688124358654,0.068900793790817,0.086321227252483,0.112898804247379,0.132542610168457,0.219060271978378,0.281299650669098,0.314300328493118,0.291619271039963,0.303034245967865,0.234274074435234,0.227866396307945,0.128017216920853,0.007006146013737,-0.042415793985128,-0.012081443332136
"5981",-0.015629213303328,-0.015603468753397,-0.007957316935062,0.02355513907969,0.031969130039215,0.048757128417492,0.077859088778496,0.092553935945034,0.117142468690872,0.143236771225929,0.229886323213577,0.290108919143677,0.316747695207596,0.29537507891655,0.303307145833969,0.22395920753479,0.208761677145958,0.094679303467274,-0.011368882842362,-0.03947702050209,-0.016187511384487
"5982",-0.017665043473244,-0.015840476378798,-0.012402044609189,0.016089707612991,0.022556718438864,0.034953445196152,0.06928251683712,0.087788105010986,0.115895248949528,0.13976214826107,0.24032835662365,0.291393727064133,0.323818892240524,0.303648382425308,0.308185666799545,0.243288308382034,0.240821167826653,0.12971705198288,0.006431957706809,-0.037769634276628,-0.007525718770921
"5983",-0.016365233808756,-0.017338896170259,-0.011449427343905,0.016238112002611,0.027208546176553,0.0414595939219,0.071172937750816,0.087944775819778,0.106266438961029,0.138089194893837,0.224916383624077,0.266276866197586,0.315355777740479,0.298204690217972,0.298018217086792,0.241357281804085,0.244762748479843,0.165136873722076,0.01826305873692,-0.038490127772093,-0.003925650846213
"5984",-0.019796753302217,-0.016049263998866,-0.008175258524716,0.014963956549764,0.031832858920097,0.045117828994989,0.075811490416527,0.088294111192226,0.111938551068306,0.140973150730133,0.221966698765755,0.29427307844162,0.315060824155807,0.302208006381989,0.296777129173279,0.23710136115551,0.241974741220474,0.165079742670059,0.010929834097624,-0.037447962909937,-0.011435957625508
"5985",-0.017480462789536,-0.015304260887206,-0.006713629234582,0.017889989539981,0.030430015176535,0.046510208398104,0.074550285935402,0.088676020503044,0.112437009811401,0.131295785307884,0.222589567303658,0.299729228019714,0.318941116333008,0.303495705127716,0.293033391237259,0.232391700148582,0.235575705766678,0.152312636375427,0.00356159126386,-0.037522152066231,-0.017737202346325
