FID,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,150eg20
42,-0.007292168,-0.007225857,-0.009013783,0.019321261,0.031277381,0.047069985,0.074549571,0.09794043,0.125657082,0.163938552,0.256531864,0.26846987,0.283212632,0.3059479,0.314351797,0.248202577,0.217476547,0.102333173,-0.014529024,-0.026728952,-0.004908423
43,-0.008044039,-0.008056141,-0.011556217,0.00842251,0.016572822,0.032198776,0.05304914,0.081468135,0.111203343,0.157798454,0.254829854,0.265430838,0.282506585,0.306348115,0.307969749,0.258892626,0.230708033,0.145524681,0.005139033,-0.03088044,-0.000446288
44,-0.006736055,-0.007518152,-0.010538123,0.008161413,0.018606262,0.028018342,0.056921586,0.079697117,0.111124948,0.153287753,0.255247086,0.265148997,0.279073745,0.307111979,0.306343943,0.250551999,0.242574155,0.140404478,0.00247194,-0.035681061,-1.23E-06
45,-0.005844892,-0.009906996,-0.012350925,0.006505618,0.019880626,0.028332075,0.055922121,0.078302033,0.106136203,0.151280642,0.249944374,0.259717703,0.273296624,0.301925659,0.294047773,0.241968185,0.240714818,0.126950562,-0.000995257,-0.033047982,0.001220923
46,-0.005005105,-0.013535023,-0.008867611,0.007706168,0.018400228,0.032248963,0.054620825,0.077513486,0.105119213,0.149426594,0.23980549,0.249597549,0.259958297,0.292272717,0.291303068,0.235705227,0.245185614,0.112645462,-0.006706234,-0.033867441,-0.000881638
47,-0.00599473,-0.013184672,-0.005701385,0.010781948,0.019809844,0.029532671,0.05783058,0.078715891,0.109056562,0.159814894,0.249389574,0.268123418,0.276606202,0.307001621,0.301399767,0.247636139,0.26262033,0.135735333,0.009036574,-0.034505703,-0.000692247
48,-0.0087739,-0.016986325,-0.001043805,0.017555512,0.02967279,0.041645419,0.069368087,0.086320899,0.117583394,0.156278893,0.252634168,0.270161688,0.271550059,0.313006014,0.32151255,0.253600925,0.253896326,0.123028867,-0.003266203,-0.034394745,-0.004385349
49,-0.01085706,-0.015332421,-0.002376953,0.019555317,0.027993768,0.041346215,0.071348757,0.088254899,0.113024935,0.153181389,0.242071614,0.26830551,0.280797273,0.322120607,0.3246378,0.261045039,0.249741837,0.109184116,-0.009918255,-0.035502236,-0.009074751
50,-0.008661035,-0.017580442,-0.007304799,0.013520765,0.024621509,0.041837886,0.063588992,0.086786009,0.111631654,0.153471693,0.251008868,0.272711992,0.279539526,0.320190161,0.315006942,0.253868222,0.233246595,0.103719033,-0.017805003,-0.036621626,-0.00677582
51,-0.01224623,-0.014129531,0.00307855,0.026797939,0.039486755,0.060428552,0.074668936,0.096205875,0.117386989,0.146778718,0.233320177,0.255450368,0.265625834,0.315674216,0.312880456,0.256311029,0.224951878,0.099550799,-0.016676884,-0.035644948,-0.006153146
