FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20,labels
659,0,0.099621073,6.693491846,24.87791495,30.5564678,33.64913885,40.41228858,52.09238273,53.56293528,58.88944163,80.18481984,88.82758121,90.93859903,98.01809851,99.84386536,92.00203338,90.59732097,45.46129052,0.521194429,0.063404969,0,-0.025674772,0.055482864,0.044838142,0.168486595,0.214622736,0.31577487,0.431881762,0.521807384,0.686376715,0.76858654,0.858823204,0.800485992,0.85300827,0.799128532,0.784486961,0.753580332,0.592891407,0.464234257,0.58823247,-0.015424758,-0.009238051,0.005416129,0.035603534,0.048422825,0.073144853,0.085571006,0.103239924,0.10793829,0.127328783,0.196110368,0.228897169,0.250775665,0.252851963,0.260320842,0.204611957,0.176176906,0.09060394,-0.010271374,-0.028203333,3
665,0,0.265248747,7.619570187,24.51089773,32.07254992,33.14115429,39.46407338,47.54119246,53.27416341,55.85262827,79.80477566,85.27126635,87.61658688,97.62971528,99.55398749,90.96221529,88.52617147,40.47801496,0.31243175,0.056698674,0,-0.027207327,0.055999756,0.052444649,0.180920267,0.218997478,0.317875481,0.421695614,0.537504244,0.696656227,0.766781282,0.874377632,0.814354563,0.861899424,0.810399437,0.786813974,0.748678017,0.582859612,0.454725409,0.599742413,-0.016195962,-0.004384723,0.003519195,0.032699145,0.053117651,0.068915114,0.081099331,0.088333383,0.114570551,0.117504142,0.19044292,0.212781638,0.227993801,0.224733651,0.241466895,0.191078365,0.163917795,0.078032263,-0.005896152,-0.028260386,3
666,0,0.098155769,8.117589537,24.01036427,30.20210334,33.05227862,39.92149773,48.48940765,53.45616249,57.71979422,83.05939168,86.88069351,88.80739028,98.71354491,99.87533436,93.66867988,90.46992162,36.85276409,0.243264611,0.058061362,0,-0.027324629,0.055176783,0.052743959,0.178654671,0.223621559,0.31609149,0.429149771,0.532191277,0.697347021,0.767520094,0.870211411,0.803870201,0.875165367,0.804001522,0.800262547,0.753582191,0.582025003,0.466503716,0.593486071,-0.015842527,-0.007587288,0.005269572,0.032997858,0.047038153,0.069420762,0.083285667,0.0884405,0.109696656,0.123223722,0.199490085,0.218214795,0.229623705,0.239289701,0.262816399,0.203576773,0.172983155,0.080368102,-0.008882583,-0.027286271,3
674,0,0.104862064,7.592135345,24.41999756,30.68357356,33.70766651,40.74898687,49.03601155,54.10225922,60.40549395,86.54177486,89.44032261,91.84299332,98.96769676,99.98668619,98.89737476,98.52885726,67.09542054,1.544122119,0.101813748,0,-0.028889561,0.050665903,0.043010759,0.170074081,0.209177446,0.312873411,0.407769394,0.552020931,0.723743343,0.795792675,0.885432625,0.860248756,0.90419035,0.832631922,0.814441586,0.785503531,0.635440969,0.489997244,0.575852585,-0.021480804,-0.011380197,0.006551153,0.03422663,0.046134036,0.071104787,0.084255382,0.095104568,0.114560798,0.131115198,0.196352929,0.236252218,0.246055543,0.228295058,0.255899876,0.207656607,0.19277139,0.11932385,0.001269786,-0.025050558,3
676,0,0.102423411,7.392739274,24.00914495,29.76070721,33.3851547,40.41228858,47.87425077,52.81977238,57.93273314,84.1048072,86.35516394,89.2084598,97.62026936,99.56623553,91.98932475,90.48144823,46.37292465,2.244116037,0.0463344,0,-0.029521847,0.052130842,0.051896095,0.189029503,0.243178701,0.342130756,0.420124483,0.563782454,0.733353901,0.80990715,0.891073275,0.848494625,0.890339184,0.821127176,0.80396018,0.774010468,0.608755064,0.511863947,0.579189587,-0.016658653,-0.012339721,0.004115555,0.033534877,0.047896534,0.072741792,0.086087301,0.090794466,0.111318186,0.121563338,0.185087487,0.223299533,0.231511176,0.218846545,0.248793811,0.185580492,0.162558228,0.089601383,-0.008623842,-0.028981064,3
677,0,0.081897079,7.837219936,24.73841829,29.60408685,32.95019157,40.19510301,48.51792084,52.73059283,58.97619452,85.34694569,87.18676237,90.28608685,98.75463699,99.54854093,95.88845451,95.53670255,58.05631576,3.066077799,0.078841217,0,-0.030703354,0.048513508,0.040299416,0.178503036,0.22695303,0.336325264,0.405482197,0.565515518,0.725782871,0.807705212,0.886657238,0.839939785,0.864959002,0.812319279,0.800314808,0.77302475,0.606958389,0.517752504,0.568197536,-0.015783386,-0.011587244,0.007413117,0.037493806,0.045678649,0.067698471,0.085623808,0.095273189,0.109437689,0.126467347,0.189647987,0.224991038,0.241104886,0.225016162,0.261742473,0.195838183,0.182328835,0.106693275,-0.004871968,-0.02305086,3
678,0,0.116122723,8.513629141,25.88751715,31.14098461,34.18719212,39.71508454,47.59336553,51.90613701,56.13700891,81.12002233,86.00836709,88.40270752,98.4702594,99.43276954,91.08476357,86.09527045,34.74483729,1.318494192,0.076817558,0,-0.02958951,0.051889515,0.046981859,0.179989815,0.228124714,0.329226542,0.385523224,0.53902564,0.696311712,0.79490819,0.866026545,0.820557785,0.854103136,0.790499735,0.755399752,0.728020096,0.555730295,0.488259077,0.54357276,-0.017667461,-0.010072882,0.00786146,0.038607243,0.049330164,0.073010072,0.084395148,0.091155767,0.10799478,0.12069454,0.180518642,0.224530146,0.243369579,0.223450035,0.255071104,0.1879839,0.154761121,0.067786679,-0.016872993,-0.025096284,3
680,0,0.11245569,8.542354235,25.62231367,31.20682823,34.81968011,39.73100536,47.85059089,50.99917494,56.4081771,84.5281466,87.7723379,90.58691044,99.01659533,99.74884127,95.69964053,93.99805388,53.05905248,3.436112632,0.049382716,0,-0.031082106,0.045381641,0.036853838,0.164354849,0.216885424,0.307381916,0.358586454,0.509301424,0.667926788,0.782705402,0.859130621,0.813851118,0.844841433,0.80591526,0.803659821,0.772933245,0.601202059,0.481415844,0.5508708,-0.020185251,-0.010395319,0.009305338,0.037342578,0.049634937,0.074138299,0.081354745,0.090495452,0.105193391,0.122918069,0.194540545,0.236823782,0.2690714,0.234222353,0.263249129,0.2074572,0.182417035,0.100030899,-0.011083595,-0.026532687,3
681,0,0.148514851,7.590306356,25.41865298,31.82570091,33.70766651,40.84131153,49.03055158,52.54677376,58.31371788,84.94624961,86.70495395,90.57223406,98.05733811,99.3899856,91.14510839,88.54073139,39.99391838,2.900458638,0.0926688,0,-0.030580473,0.042222166,0.039513874,0.170785904,0.218571806,0.310455894,0.364918232,0.524513483,0.686582708,0.797917843,0.864560509,0.819549608,0.837954569,0.79801507,0.7877069,0.761348104,0.581323671,0.490715694,0.566524506,-0.019775232,-0.014112063,0.003783287,0.037357304,0.052429244,0.067878366,0.08704149,0.095228814,0.107509553,0.126972094,0.194093913,0.230495095,0.263948411,0.226445913,0.26054889,0.192477748,0.165719464,0.080110714,-0.011838379,-0.028721826,3
682,0.001222344,0.153635117,7.60298252,24.36945588,30.96418229,33.41543514,39.57448616,48.37414157,52.44182096,58.67043607,86.11127921,89.43368206,91.73131139,98.8112444,99.77917445,93.94985783,92.00963382,43.35948428,2.446633826,0.064624295,0,-0.031313848,0.046457481,0.032232952,0.158269978,0.199013901,0.286842299,0.357022429,0.511974382,0.681063986,0.786375999,0.866048384,0.813875198,0.845046043,0.808018684,0.807993174,0.77719183,0.585057831,0.474593019,0.562622356,-0.017969701,-0.009506676,0.005577043,0.035329655,0.05068383,0.070160717,0.078927033,0.094087601,0.107728861,0.128869429,0.200798288,0.235877484,0.260744184,0.233636737,0.273471564,0.208674356,0.176605955,0.087193646,-0.017199446,-0.029575532,3
