FID,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,150ch20
3232,0,0.031897974,0.089589214,0.099490166,0.194512224,0.201238918,0.334645271,0.458941078,0.545007801,0.715304708,0.82892108,0.866948509,0.89802866,0.92255435,0.749333858,0.824433088,0.822012186,0.572549486,0.448101711,0.581508493,0.062328625
3233,0,0.032040596,0.092791891,0.105712223,0.204437304,0.215274811,0.338741398,0.466531277,0.551810265,0.718952656,0.829516554,0.8701334,0.895796537,0.939445829,0.749092293,0.851382113,0.839891768,0.562394714,0.443612576,0.570343447,0.065727615
3234,0,0.030474806,0.092217588,0.101482391,0.201938009,0.211727333,0.357417107,0.479284573,0.561676359,0.739504194,0.836170816,0.873088694,0.892238045,0.928956223,0.736978817,0.827551508,0.816324663,0.598970366,0.469016218,0.583997011,0.057948303
3235,0,0.029087305,0.091712952,0.103655958,0.204744339,0.214319897,0.353214312,0.479122591,0.565917206,0.750366259,0.857822704,0.896565008,0.910983706,0.958745337,0.763889647,0.839526415,0.822886181,0.562204504,0.466430569,0.58950243,0.069157648
3236,0,0.030889559,0.09330864,0.105988503,0.209411812,0.226984835,0.35085783,0.485981655,0.573636198,0.775778341,0.86354208,0.90558362,0.919552898,0.963038254,0.761372662,0.831987667,0.812515211,0.558432436,0.466905594,0.586000443,0.077141762
3237,0,0.030045891,0.091532803,0.104384422,0.204921722,0.201081514,0.339035177,0.481605005,0.571553612,0.782012653,0.858939934,0.911600304,0.920716524,0.970927763,0.778625202,0.835636282,0.830211258,0.575397158,0.472255802,0.588892651,0.07929039
3238,0,0.031144428,0.096113253,0.107022524,0.205077887,0.1958992,0.341717005,0.476181364,0.563788795,0.775614166,0.850822878,0.90684514,0.925516319,0.98926177,0.798747778,0.901386738,0.894185781,0.622727156,0.469716501,0.621409607,0.069882774
3239,0,0.028893566,0.094919538,0.107349682,0.201502991,0.191549635,0.34401226,0.475716639,0.568072939,0.776558924,0.842606449,0.91613512,0.937221289,0.986704588,0.798039007,0.888101387,0.886390257,0.610329437,0.452042675,0.606759167,0.070591927
3240,0,0.029747009,0.092373896,0.104381895,0.202038908,0.185661936,0.337033129,0.462472582,0.572020102,0.773476124,0.83743782,0.917604446,0.936147165,0.98932333,0.798834991,0.908367348,0.900694704,0.671439266,0.453806114,0.633537006,0.065465069
3241,0,0.028053284,0.09281373,0.107323885,0.204961014,0.194915056,0.343697548,0.45809865,0.566777563,0.75759325,0.814115858,0.893631554,0.91448741,0.962785339,0.77265954,0.877994776,0.880916119,0.643684912,0.449290609,0.606937075,0.066363335
3242,0,0.031202364,0.092365313,0.107050753,0.202498531,0.190251541,0.334534454,0.432783651,0.544457817,0.74371047,0.786344528,0.870971298,0.898689365,0.943229389,0.742948771,0.84700551,0.845064211,0.636724758,0.439573288,0.592790651,0.064151764
3243,0,0.03121767,0.090114927,0.104247713,0.198951054,0.18423295,0.328412724,0.423516798,0.542465162,0.751527834,0.797270775,0.900690556,0.936746788,0.989875031,0.786358309,0.903932858,0.901089811,0.716478109,0.468583298,0.635941553,0.063605404
3244,0,0.032045412,0.088645172,0.102319002,0.197519684,0.17077055,0.330653954,0.40868535,0.536666965,0.75013423,0.790944815,0.897319269,0.932307339,0.975902605,0.767797327,0.859196854,0.845157766,0.570172739,0.422083378,0.596772718,0.07330513
3245,0,0.031552887,0.086911297,0.101955748,0.19056921,0.176111555,0.327512169,0.419442987,0.531747103,0.757863331,0.811619425,0.913065529,0.957908058,1.002564955,0.800821352,0.88325386,0.872204924,0.609246254,0.443131495,0.639950228,0.071190119
3246,0,0.028979397,0.084448957,0.104810762,0.189057684,0.182984114,0.32274847,0.41197052,0.526249838,0.747226095,0.810559702,0.911518192,0.956784391,1.014287949,0.800336456,0.896888018,0.888216019,0.611369562,0.450355577,0.664169788,0.073885918
3247,0,0.03021841,0.086708117,0.107929468,0.202737045,0.192538357,0.339391756,0.428739643,0.549049473,0.74253335,0.809392214,0.912317133,0.941539097,0.995580101,0.798546982,0.898065615,0.898326969,0.690661478,0.467019081,0.684506607,0.066474962
3248,0,0.03041935,0.088066149,0.109475327,0.198384333,0.18875742,0.334254313,0.423174095,0.546733952,0.754793549,0.808943892,0.912624168,0.947878838,1.00229764,0.813308859,0.934140921,0.927942324,0.763680553,0.47241497,0.726448965,0.065855408
3249,0,0.030117416,0.088055611,0.111190128,0.199623251,0.190294552,0.325113964,0.429695511,0.539292431,0.743896532,0.793703651,0.894451666,0.928652477,0.990817785,0.791750336,0.91085844,0.910758209,0.751815462,0.471514797,0.746968555,0.067423058
3250,0,0.029753733,0.090072823,0.108876705,0.196223688,0.191181183,0.313101006,0.424906731,0.529501295,0.722515869,0.786884308,0.893456125,0.932025194,0.999946594,0.812427616,0.941816187,0.946141768,0.832943439,0.511102104,0.789017057,0.058137321
3251,0,0.029126453,0.088871002,0.108537865,0.199624348,0.184984922,0.313054323,0.423336029,0.542419577,0.726566315,0.794141245,0.897521067,0.93952837,1.023818159,0.835713863,0.970681047,0.973361969,0.857389975,0.520480442,1.002872181,0.058422422
3252,0,0.028446198,0.089314556,0.110810328,0.201578474,0.192194653,0.333954477,0.425152826,0.558362484,0.731481695,0.796334314,0.900388718,0.939060259,1.01562047,0.828868055,0.962023735,0.9731668,0.853395891,0.513782263,1.111708164,0.058943892
3253,0,0.028857231,0.089492178,0.108773565,0.200984478,0.195684624,0.330731678,0.42202158,0.551437426,0.730926037,0.796953869,0.907272387,0.950749636,1.026482964,0.853711843,0.99651413,0.999499846,0.897252178,0.550179958,1.184011841,0.059880447
3254,0,0.028959274,0.087540817,0.107713223,0.200448132,0.186863565,0.326137686,0.411869764,0.537792921,0.713513422,0.792388821,0.904587698,0.942039299,1.032624626,0.863935995,1.014259386,1.014569569,0.901335144,0.518457699,1.12067399,0.058122635
3255,0,0.029468536,0.090698481,0.110653353,0.209601736,0.206499243,0.331822109,0.423391962,0.552256918,0.727537966,0.792678404,0.89879365,0.920359612,1.015312099,0.829508781,0.953584766,0.960564423,0.809837198,0.494283056,1.074509811,0.067284679
3256,0,0.028127289,0.092933941,0.112312889,0.20842576,0.204286957,0.328504181,0.422609806,0.556585503,0.738869905,0.806945801,0.911346626,0.92880969,1.025174332,0.840532494,0.960549116,0.981512737,0.840567923,0.493202639,1.068572664,0.067976284
3257,0,0.027555561,0.09623909,0.114612484,0.217266846,0.204358006,0.335062504,0.422946453,0.54116106,0.717026997,0.782846498,0.884978628,0.908061981,1.002325058,0.819240046,0.933367157,0.947096443,0.775305367,0.482834768,1.007914066,0.065106773
3258,0,0.027285624,0.099511147,0.116094875,0.22935338,0.20716095,0.346446514,0.422878313,0.535295582,0.702447796,0.769789457,0.855047131,0.870319796,0.962132788,0.772994328,0.870319891,0.894236231,0.725216246,0.471791315,0.964921427,0.068099976
3259,0,0.028786659,0.097901392,0.117896175,0.232261372,0.228463459,0.36374712,0.435605145,0.558249664,0.720833588,0.792092371,0.883330727,0.889513969,0.97005024,0.797282362,0.879555702,0.906065321,0.707902145,0.473117161,0.905314064,0.07168684
3260,0,0.030662584,0.104050779,0.123822594,0.252865028,0.245481682,0.385307789,0.463000298,0.569355774,0.712610674,0.783114052,0.862589216,0.876242971,0.956183767,0.783015728,0.851762486,0.876469278,0.679792595,0.470705032,0.922942781,0.067247629
3261,0,0.027350473,0.098745394,0.119535494,0.239863443,0.252355576,0.370042944,0.456758213,0.551338387,0.706356049,0.788990307,0.877878094,0.892794037,0.967944241,0.808271265,0.882963371,0.916240025,0.738362217,0.488647747,0.987455225,0.052524281
3262,0,0.02613678,0.097129011,0.115075111,0.238671541,0.24221139,0.359107828,0.436840343,0.535938072,0.692924213,0.76829257,0.849654484,0.850601721,0.927566576,0.7707129,0.831968355,0.876724768,0.680267763,0.460608578,0.972448921,0.052163124
3263,0,0.026456881,0.095919657,0.119593859,0.238419962,0.257509947,0.361781454,0.452874565,0.528368568,0.680551815,0.757651329,0.838410711,0.837911797,0.926304007,0.754670477,0.803124189,0.847015333,0.640099955,0.467299938,0.974105072,0.054774952
3264,0,0.023524427,0.089938354,0.109408426,0.21709938,0.223294449,0.343474245,0.438092279,0.527134418,0.686381531,0.761300564,0.840067482,0.842815351,0.913672829,0.749581814,0.804899979,0.843365765,0.608697033,0.456197453,0.927635431,0.052056313
3265,0,0.024358368,0.089684629,0.107979822,0.217239428,0.222432518,0.340851641,0.440873861,0.507916784,0.685059881,0.762702942,0.831539297,0.821608686,0.885354662,0.715621185,0.755968904,0.802186012,0.583940506,0.458287287,0.898585653,0.049878311
3266,0,0.025624895,0.090843391,0.111139822,0.205889273,0.211432409,0.340805387,0.441244984,0.507543755,0.672250605,0.745343208,0.821453571,0.807880783,0.88152442,0.707444143,0.741168022,0.787316418,0.550094652,0.443790579,0.844041824,0.047812653
3267,0,0.023561907,0.089984322,0.109140778,0.204188442,0.212487698,0.337888718,0.434860849,0.50785284,0.66730485,0.742055893,0.808802843,0.799019241,0.884185171,0.709096909,0.748454666,0.79164238,0.545836067,0.43233881,0.827247429,0.046412516
