FID,0cc20,12cc20,24cc20,30cc20,39cc20,46cc20,53cc20,60cc20,67cc20,73cc20,81cc20,88cc20,95cc20,102cc20,108cc20,116cc20,121cc20,129cc20,135cc20,144cc20,0ch20,12ch20,24ch20,30ch20,39ch20,46ch20,53ch20,60ch20,67ch20,73ch20,81ch20,88ch20,95ch20,102ch20,108ch20,116ch20,121ch20,129ch20,135ch20,144ch20,0eg20,12eg20,24eg20,30eg20,39eg20,46eg20,53eg20,60eg20,67eg20,73eg20,81eg20,88eg20,95eg20,102eg20,108eg20,116eg20,121eg20,129eg20,135eg20,144eg20
2165,0,0.32636597,5.904534898,20.19068574,27.23182442,30.46281092,39.92574438,53.39064282,57.92837172,60.55119159,79.45414702,93.47053106,91.97459689,98.71897808,98.4344174,92.70669029,89.85294475,27.55616522,1.424446116,0.100480345,0,-0.009213305,0.066721916,0.071133041,0.154197216,0.173078775,0.282029343,0.410321808,0.515438604,0.680306053,0.816536379,0.864217997,0.866326427,0.946598673,0.790144587,0.807630205,0.834285831,0.572473812,0.441390705,0.614164782,-0.010171575,-0.006508259,0.007734762,0.027049562,0.038979989,0.053909373,0.079435617,0.091359131,0.105106018,0.134185523,0.202029809,0.243601471,0.260617226,0.223334193,0.253779054,0.19072625,0.172207505,0.060945544,-0.006368969,-0.033721834
2166,0,0.320434271,5.681428291,20.83706752,27.89452827,30.55509831,38.41154186,51.0264748,54.47767517,58.02858599,76.19612447,90.01623916,88.55471509,98.3379101,97.90397729,91.81382457,90.10471014,32.52995196,0.768716171,0.09595404,0,-0.009359312,0.066319513,0.071591663,0.143871737,0.155312061,0.261744928,0.367781067,0.467867184,0.630069542,0.752693701,0.802661467,0.792687416,0.882906246,0.720487928,0.736383104,0.778199196,0.536720324,0.404334164,0.584270191,-0.008292468,-0.004842962,0.010957525,0.028647915,0.041113287,0.055456579,0.075745426,0.086796038,0.097139217,0.124217011,0.1893325,0.221855834,0.239804387,0.209849611,0.241609812,0.181464493,0.163841784,0.068439528,-0.004983801,-0.029425183
2167,0.000611172,0.471154789,6.057939127,21.70766651,28.80557076,31.1792252,37.80848844,50.33669829,53.72745987,55.2239802,73.03334158,88.4545032,85.995086,97.65830159,96.89848828,93.30364726,94.43593018,39.13183966,1.069147966,0.039726195,0,-0.009350729,0.065236235,0.07164917,0.144353867,0.158168793,0.271224976,0.374216747,0.45989213,0.614243841,0.736348629,0.788900805,0.771827078,0.862336779,0.699374294,0.69454546,0.739334106,0.527508974,0.395941973,0.57442565,-0.01007053,-0.004716978,0.014286287,0.030146927,0.043510314,0.059270013,0.075653546,0.086653493,0.097373061,0.114802092,0.183238015,0.217034817,0.229504302,0.204512253,0.23978132,0.186856136,0.174373373,0.078056723,0.000569821,-0.031168031
2168,0,0.675956485,6.199147142,22.23200098,28.53101661,32.51455571,39.70188551,50.35281587,54.96665497,58.14203208,75.34888225,90.44189734,89.18556707,98.533025,98.37596156,97.17840763,97.69953166,58.30147843,2.456972572,0.163182985,0,-0.009403944,0.065414619,0.070417547,0.150349855,0.160183096,0.274008799,0.381054115,0.460698318,0.626033211,0.748053694,0.785699606,0.778630686,0.878355932,0.716248751,0.758133078,0.800656271,0.621417999,0.415457869,0.593057919,-0.008758621,-0.003140765,0.013660764,0.031003119,0.041130669,0.06182912,0.077746555,0.088154599,0.105466589,0.126108512,0.188634068,0.226697594,0.247585982,0.213474005,0.255033493,0.201064959,0.19438833,0.104741611,0.003418037,-0.025717346
2169,0,0.363934908,6.04510451,22.48864502,28.44505411,31.80563158,39.60736375,51.5397122,55.23656213,61.79354025,79.67207771,92.7388635,92.51758443,99.06670128,99.09587151,98.54158072,99.3818098,77.24859015,6.2237618,0.081285906,0,-0.00997529,0.064435959,0.068321371,0.153621578,0.169485283,0.289488363,0.406069946,0.487354755,0.662466335,0.792350578,0.832692051,0.828836012,0.921272564,0.758502054,0.804661131,0.842490387,0.677038622,0.448961258,0.639322853,-0.010045367,-0.004697333,0.01332536,0.031861048,0.04150695,0.057276558,0.077133581,0.089489453,0.107536681,0.137922898,0.202645019,0.240739569,0.264789373,0.225011736,0.268908679,0.21745041,0.215170562,0.144254804,0.020843424,-0.024804657
2170,0,0.44982276,6.619449074,23.75369608,30.60387136,33.13153483,40.83695309,52.70389963,55.91738178,60.0797618,77.0500236,92.08567513,90.51971337,98.63600231,98.33895508,97.08609191,98.18038071,56.62124676,2.577388554,0.079036369,0,-0.009860754,0.066142225,0.071588087,0.153888988,0.177324009,0.285988569,0.403125429,0.494070482,0.647552919,0.768356752,0.802778339,0.798071003,0.892105103,0.720429468,0.757692432,0.793640089,0.615516758,0.415856123,0.606172895,-0.009956709,-0.007080759,0.014266928,0.034284811,0.047245648,0.060760941,0.080321796,0.093951613,0.109117717,0.131278411,0.190790713,0.232426122,0.256599784,0.218412638,0.25652647,0.206301481,0.197359666,0.106606118,0.007268383,-0.022025691
2171,0,0.378639349,6.145336756,22.08870599,29.07924345,32.18877334,39.54718629,52.75303938,55.84778688,62.35106409,80.01859353,92.74127824,93.71562762,99.3830328,99.26713547,98.93166541,99.03237157,74.46390561,3.424557562,0.105732796,0,-0.008057499,0.066863203,0.072660732,0.164973879,0.17076683,0.29461689,0.40239377,0.500884199,0.666444206,0.809532833,0.837571192,0.834970045,0.922700405,0.758255482,0.808069801,0.842210531,0.67184515,0.445365047,0.646039724,-0.007046006,-0.007901002,0.014676654,0.029071258,0.043406505,0.058560736,0.07436768,0.092999928,0.107009068,0.133925825,0.204113677,0.235163435,0.268837154,0.235342547,0.267428935,0.223882496,0.220568135,0.13869828,0.010900252,-0.023104507
2172,0,0.414787766,6.975419077,23.50201687,29.91556165,34.14601433,41.01439101,54.5790968,56.04991467,65.54636123,82.75932846,93.93959517,94.91255962,99.49712947,99.20540783,99.06755806,99.01477833,78.42706904,4.265036794,0.088619973,0,-0.008518124,0.068245077,0.073482609,0.171607208,0.194981384,0.311039066,0.445077276,0.564367437,0.723075676,0.863463211,0.903755188,0.899546623,0.987409544,0.811822939,0.848581648,0.887257481,0.732385254,0.496222973,0.703992748,-0.009357447,-0.006493477,0.015823642,0.032990772,0.043918904,0.064994253,0.075914547,0.097178407,0.113365084,0.149246126,0.216342136,0.24931474,0.282521635,0.249440357,0.272795886,0.228871733,0.224471763,0.145887241,0.014573113,-0.022594782
2173,0,0.380760298,5.890353887,24.15302545,31.20865722,34.16347382,43.29090733,54.95340824,58.1038719,63.7039239,82.03785962,93.86838697,93.36790442,99.1274028,98.43905458,96.78047954,96.08648057,60.62795306,2.428474362,0.103288107,0,-0.00926733,0.067713165,0.072403336,0.167339849,0.190003395,0.305217791,0.444803333,0.554848051,0.708326674,0.845909166,0.876641798,0.859707928,0.96272006,0.774257708,0.83292098,0.858882141,0.706943083,0.485211325,0.683372974,-0.005851105,-0.006568819,0.012271431,0.034147929,0.048512865,0.063857399,0.085647643,0.100432582,0.118794218,0.142976791,0.20890367,0.242927447,0.273323745,0.233524755,0.256491214,0.212590858,0.198300466,0.112271875,0.00367673,-0.021138703
2174,0,0.321659641,7.278450067,24.61880811,31.34829411,35.15378753,42.16372637,54.18355214,57.27478486,63.23557961,80.90480474,94.05852133,94.67529026,99.68185742,99.42145459,98.25766216,97.84937756,63.57811309,1.718664477,0.103899279,0,-0.006547832,0.06789093,0.073387241,0.173629189,0.192839766,0.308617878,0.432639503,0.552523565,0.698442411,0.842422533,0.872676563,0.862331343,0.972068882,0.781605864,0.835316801,0.859078455,0.69105649,0.462940454,0.675334549,-0.005064052,-0.006039444,0.014650771,0.036028679,0.0481924,0.06937848,0.08216998,0.097759187,0.115122899,0.139769554,0.208292186,0.247390836,0.288467705,0.246750116,0.28307119,0.227699459,0.219426572,0.121459946,0.001431075,-0.021390822
2175,0,0.536712087,7.284825017,23.90539054,30.4112178,34.17198808,42.0599869,53.47193574,58.3616756,62.66990233,81.52588325,94.83365429,94.58312456,99.51642819,99.50496251,99.0718047,98.79941275,67.67504954,2.391899288,0.116733896,0,-0.009772253,0.067518473,0.072315693,0.167299938,0.19485116,0.304843807,0.430639505,0.533615541,0.684350491,0.807620764,0.844498301,0.827874327,0.942406797,0.752786875,0.806523848,0.831244278,0.667434406,0.452993536,0.626162863,-0.005426025,-0.005892172,0.015506732,0.034274012,0.046139117,0.064853132,0.082356952,0.095248684,0.11830204,0.135964006,0.205692157,0.240865067,0.278097481,0.230396017,0.272553265,0.217747509,0.2059751,0.122855306,0.006665617,-0.018926019
2176,0,0.484048405,6.784622907,24.61515013,30.66483768,32.84984492,41.80837802,52.89924531,58.8821244,62.46997015,81.05391521,95.45243255,93.8797755,99.66736895,99.56185473,98.84248586,98.61156723,68.51943301,3.557136776,0.119473581,0,-0.007811499,0.068342066,0.069930077,0.165852928,0.187320757,0.295433044,0.425867558,0.540124464,0.697805882,0.833901596,0.867909575,0.85158596,0.969425297,0.776075602,0.827146387,0.844665289,0.689793348,0.465654039,0.62581749,-0.007247508,-0.006534124,0.013272843,0.03858104,0.046647899,0.061097287,0.080815472,0.094155155,0.118088663,0.136250749,0.204787508,0.246315017,0.270251453,0.244198814,0.275423288,0.216248259,0.209518224,0.126973346,0.008783422,-0.020722326
2177,0,0.916576806,8.04149103,24.78585581,31.9304984,34.03383631,42.05270693,53.70246791,58.79376914,63.49947827,79.86528849,94.85236856,93.60636044,99.67702793,99.34601665,94.6236429,92.71215026,40.01642036,2.716032905,0.06845129,0,-0.007481575,0.068736076,0.072347784,0.169625807,0.193752527,0.294895935,0.420516348,0.522255039,0.666351318,0.802265596,0.842369366,0.829578781,0.94815197,0.768557262,0.827133131,0.850954247,0.693012667,0.458626175,0.597979212,-0.008527905,-0.004799542,0.017017426,0.036118284,0.049885046,0.063873447,0.081096977,0.097464807,0.116831727,0.139392078,0.201322973,0.239510268,0.269079894,0.234352887,0.264740318,0.19550024,0.179799274,0.08195316,0.000615243,-0.02390546
