,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,132ch21,134ch21
1875,0,0.007387063,0.030237393,0.017123913,0.038805649,0.170478061,0.211420745,0.2273397,0.466638356,0.739061296,0.712139845,0.733224988,0.823202014,0.791263342,0.816072643,0.713079095,0.792435586,0.262320608,0.502069712
1876,0,0.006593684,0.029293621,0.024026114,0.044938974,0.165375739,0.211049825,0.188818306,0.460042149,0.767994523,0.735538006,0.743763983,0.830769241,0.797500908,0.830328882,0.731663525,0.810011923,0.260751456,0.520727634
1877,0,0.005291925,0.02070112,0.010263301,0.034235839,0.125789225,0.175201163,0.220437944,0.34831813,0.638116837,0.576073468,0.623599708,0.700247645,0.655960262,0.709631205,0.609357655,0.668357611,0.214744851,0.434933782
1878,0,0.008647158,0.013928405,0.0053602,0.03797802,0.099296682,0.174244836,0.262330294,0.435169041,0.627972722,0.670450747,0.683354259,0.797987998,0.844059765,0.887906253,0.743061423,0.942790508,0.220454141,0.387953728
1879,0,0.008576222,0.007268318,0.003847037,0.027014671,0.078016154,0.141946837,0.18659763,0.329142839,0.3770518,0.445392609,0.451119125,0.544823527,0.540187836,0.637507498,0.475708902,0.709553063,0.152151868,0.274540007
1880,0,0.007226247,0.00732776,0.004835735,0.024786977,0.072509497,0.137835562,0.170143068,0.255901337,0.246999264,0.279625416,0.327147752,0.400535911,0.364320874,0.511258304,0.348435283,0.57927686,0.108667329,0.204550713
1881,0,0.010139898,0.009041048,0.01067948,0.021396054,0.058715031,0.133754373,0.174911797,0.257043064,0.215700313,0.281011313,0.295434356,0.346894592,0.320552319,0.441774875,0.321507126,0.511238515,0.103814803,0.185533673
1882,0,0.009729015,0.007012367,0.004016909,0.022098999,0.061627135,0.121639356,0.156691998,0.217876703,0.138094664,0.179476157,0.201370209,0.235369921,0.234683067,0.35766986,0.232456267,0.374205887,0.091613986,0.155974045
1883,0,0.009764127,0.004935472,0.003188617,0.02641993,0.060790285,0.116098724,0.148468271,0.1771314,0.137059972,0.153397501,0.164235532,0.2142151,0.221182227,0.372967005,0.220568746,0.404614389,0.072385691,0.137195051
1884,0,0.008767055,0.003303089,0.004364369,0.027318725,0.06565398,0.1240661,0.166184202,0.176435187,0.158084452,0.129648983,0.153587967,0.200811863,0.23036553,0.396820545,0.259507865,0.513400912,0.081200965,0.146260589
1885,0,0.009735564,0.004240749,0.005772876,0.033588033,0.065594934,0.114356287,0.143349752,0.1515145,0.137057543,0.128158271,0.127758846,0.146770388,0.191468298,0.376170188,0.24361302,0.510746658,0.072066665,0.125539139
1886,0,0.010515279,0.005328875,0.007917222,0.043854777,0.094738968,0.191860512,0.204140902,0.195068091,0.19730182,0.111918397,0.13281928,0.135104209,0.212413818,0.397372842,0.243695438,0.529210448,0.072754398,0.146653965
1887,0,0.010492477,0.005002298,0.009310529,0.051742408,0.099755354,0.200000629,0.202639654,0.17852132,0.177627176,0.10320358,0.120414339,0.14159745,0.227058217,0.385589063,0.262088478,0.543854594,0.063192852,0.135619432
1888,0,0.011698481,0.004972987,0.009505252,0.059801959,0.125622079,0.227700412,0.228043959,0.198275,0.199129984,0.114185788,0.127536908,0.158168361,0.230375186,0.359154522,0.255282164,0.51153326,0.062523611,0.143328547
1889,0,0.011448108,0.005980696,0.009431289,0.0630439,0.103737071,0.212268487,0.190542951,0.167694092,0.149813712,0.083464935,0.102941871,0.134785548,0.215077415,0.311970264,0.202851743,0.420095891,0.041342251,0.11676196
1890,0,0.010656968,0.005297365,0.009803223,0.057896532,0.09294676,0.195267916,0.172062695,0.156546816,0.131342724,0.099368274,0.104819849,0.140924782,0.217520207,0.316097975,0.219027147,0.406698078,0.046385411,0.118599847
1891,0,0.009816696,0.005215193,0.009352879,0.057658043,0.097766086,0.204727441,0.179974318,0.16229564,0.141112939,0.092461206,0.107092179,0.146883637,0.227080151,0.314921558,0.187575787,0.396224618,0.045263898,0.12278109
1892,0,0.009978811,0.005103314,0.008817791,0.061873928,0.098281197,0.230115741,0.18155849,0.164758623,0.14819473,0.086148717,0.110320203,0.166765749,0.242798999,0.344143987,0.196404681,0.447890192,0.043008707,0.120747477
1893,0,0.009552925,0.005680516,0.009451721,0.055127416,0.090424664,0.209204897,0.164827406,0.154504731,0.138076782,0.074421838,0.104401432,0.16006209,0.215238199,0.317245513,0.195839524,0.424095482,0.033263091,0.109802343
1894,0,0.009115594,0.007397385,0.01109427,0.059646972,0.106806912,0.237566561,0.188648254,0.172739804,0.167485341,0.088135317,0.119306594,0.182446688,0.208241999,0.294921547,0.201387063,0.412588835,0.042301189,0.12091323
1895,0,0.008381113,0.00578114,0.010107027,0.059929874,0.105915822,0.23850517,0.182051018,0.177418485,0.178372204,0.087518848,0.112840302,0.177522004,0.215029627,0.297787786,0.193439305,0.411931217,0.042476468,0.118669197
1896,0,0.007961035,0.005682865,0.009537698,0.057415903,0.106656797,0.230498329,0.189572409,0.185751796,0.19010368,0.090672433,0.119947024,0.187406763,0.206055358,0.291499346,0.191396669,0.3520661,0.050228804,0.124001712
1897,0,0.007743752,0.004702966,0.012648587,0.058052462,0.120843485,0.229760632,0.207552463,0.19610922,0.208751976,0.112417132,0.128978223,0.184880242,0.215953127,0.313450485,0.183698446,0.365326226,0.064479023,0.139149576
1898,0,0.007628612,0.005058572,0.014431471,0.070371553,0.16850248,0.26818949,0.272557586,0.242045477,0.269962758,0.144737691,0.172328904,0.223903477,0.249174491,0.342824996,0.192721769,0.388792068,0.075717948,0.168872744
1899,0,0.007538208,0.005495597,0.017542928,0.068180621,0.198535904,0.295383513,0.337732404,0.301052272,0.347417861,0.193611473,0.256580472,0.314066052,0.331598431,0.453324974,0.264009863,0.473204792,0.108603492,0.225791469
1900,0,0.007850367,0.005538341,0.020793905,0.05952194,0.210409433,0.305210978,0.384408265,0.353697509,0.431676835,0.298145324,0.396996707,0.436975479,0.451627791,0.538375497,0.363355041,0.567804813,0.141112387,0.290064096
1901,0,0.007348466,0.005013299,0.019809723,0.043571234,0.171206981,0.260773987,0.378557414,0.380995661,0.49459222,0.409331948,0.495427758,0.555560648,0.537473738,0.585276425,0.429119349,0.568970084,0.151679024,0.31317237
1902,0,0.007944495,0.004879847,0.020837434,0.04683888,0.201351881,0.300325215,0.497158796,0.54126054,0.738151252,0.767364323,0.790863991,0.891683102,0.872226,0.87962091,0.760787308,0.88398391,0.231247187,0.436970443
1903,0,0.008241153,0.00583243,0.022578167,0.045544498,0.18832542,0.287026793,0.493523687,0.566802442,0.805831015,0.839669764,0.846939445,0.950428545,0.938009322,0.940678954,0.824718356,0.955861747,0.252237171,0.465247959
1904,0,0.008019892,0.005042708,0.019661225,0.034336358,0.153173923,0.240243286,0.423261881,0.514284134,0.753775239,0.787184596,0.79118526,0.894305825,0.879976749,0.880678236,0.766406059,0.89168036,0.203507811,0.422340363
1905,0,0.009232785,0.005009095,0.022730578,0.039562237,0.171455532,0.277332604,0.481267661,0.566254854,0.777148545,0.812081993,0.798900485,0.896611691,0.881047964,0.883743405,0.777117729,0.897253811,0.261851609,0.473715991
1906,0,0.009998514,0.006170773,0.021935571,0.041193731,0.171139985,0.277340382,0.476829827,0.56153357,0.763638139,0.810065687,0.791302919,0.887235403,0.868382931,0.873271108,0.767445982,0.886519313,0.262804449,0.473147154
1907,0,0.009768737,0.004984298,0.019248884,0.03836016,0.15626289,0.267025262,0.463612288,0.556236982,0.757986486,0.80814904,0.794329703,0.88775748,0.87220794,0.870862603,0.770665586,0.891285896,0.25397566,0.468415886
1908,0,0.01075378,0.005418013,0.017074253,0.03780181,0.154937074,0.275798291,0.468975395,0.56633085,0.766072035,0.815474033,0.805046797,0.893558681,0.877529919,0.881638229,0.783778965,0.903783739,0.264524549,0.476354092
1909,0,0.012189577,0.006000877,0.019238811,0.044003956,0.168744236,0.289438486,0.482380658,0.575928688,0.760413826,0.804803729,0.786803186,0.868430614,0.85181874,0.863854527,0.760406911,0.883495808,0.279948086,0.486735791
1910,0,0.013879563,0.006359496,0.020071059,0.044735041,0.170453623,0.287113488,0.477964401,0.571203709,0.746895909,0.79718101,0.776083648,0.854655564,0.846954405,0.856435657,0.746041656,0.868514955,0.276393205,0.476373076
1911,0,0.014063609,0.006573883,0.022348173,0.042998247,0.162442952,0.268660635,0.451427251,0.549901843,0.724027634,0.751819313,0.74556905,0.813850462,0.806543052,0.818921208,0.704043508,0.827042103,0.258087754,0.452883363
1912,0,0.015840018,0.00826754,0.025748249,0.052198991,0.18498677,0.299344867,0.494743794,0.59002775,0.753613889,0.78751111,0.778536677,0.842505872,0.840736389,0.851120412,0.747481585,0.867796481,0.286324114,0.486837566
1913,0,0.014719582,0.008505475,0.026000068,0.054474954,0.187980086,0.298308522,0.49464491,0.604727089,0.758925259,0.788742363,0.779945135,0.843823671,0.852626741,0.858151317,0.759542346,0.872023821,0.288446933,0.490310133
1914,0,0.014171156,0.00965075,0.024941022,0.056137808,0.190628409,0.30453366,0.500608146,0.605400264,0.747134328,0.785953939,0.77809453,0.838606238,0.848046124,0.850874543,0.752943635,0.87216413,0.296240568,0.493833035
1915,0,0.012495232,0.009148144,0.020484446,0.052428886,0.169738322,0.281570345,0.461480767,0.581916094,0.715780795,0.776265442,0.770452142,0.837351799,0.830340147,0.838883221,0.745869637,0.857815742,0.265129477,0.465615183
1916,0,0.013164882,0.012752105,0.022814183,0.062196426,0.202565625,0.330168158,0.521322489,0.62961185,0.774647951,0.862896919,0.862105906,0.932177961,0.936191797,0.93492502,0.849377573,0.959735334,0.304023176,0.511971414
1917,0,0.014598763,0.025716232,0.035588004,0.08024919,0.238221794,0.376640767,0.547543228,0.645656824,0.779399812,0.90196079,0.922163427,0.988796175,0.993338883,1.000012994,0.908973753,1.015808582,0.33045727,0.531444609
1918,0,0.015081093,0.033379748,0.039945178,0.089123659,0.248215601,0.377541006,0.501067221,0.604885876,0.711169958,0.837074816,0.85008806,0.914120793,0.914234638,0.916888356,0.832684696,0.93437469,0.297705442,0.493842512
1919,0,0.014672591,0.03065126,0.033935145,0.077222057,0.214291155,0.338294625,0.462220192,0.573313594,0.675448,0.825082898,0.82517463,0.893974423,0.902701139,0.90033114,0.826123595,0.930146635,0.269872516,0.462696105
1920,0,0.014289739,0.030516809,0.032419417,0.076113008,0.208458796,0.336677283,0.452917993,0.566135883,0.672807217,0.824627638,0.827003539,0.89776808,0.902673602,0.899068236,0.828498483,0.933182001,0.264361739,0.45690459
1921,0,0.015747178,0.03439923,0.037280608,0.08967834,0.248200193,0.40075472,0.541683972,0.643013179,0.771962345,0.916085899,0.917156518,0.98412627,1.00510323,0.982718825,0.922534525,1.005697846,0.332977086,0.534500718
1922,0,0.015882498,0.028203685,0.032136422,0.090691939,0.261805654,0.409315974,0.570789218,0.669835746,0.804852962,0.945527971,0.921171069,0.996902347,1.012124896,0.993688643,0.943859994,1.01522696,0.361332446,0.557203054
1923,0,0.013450005,0.014002794,0.020886693,0.067112952,0.193270788,0.319007635,0.506489635,0.620714188,0.76046437,0.881366968,0.837538421,0.914859176,0.918631911,0.913726866,0.871112406,0.951468945,0.307892501,0.503842652
1924,0,0.013448146,0.015152255,0.022883154,0.070974782,0.19209969,0.312036932,0.494784147,0.614218652,0.751418412,0.862872839,0.812401116,0.886983037,0.888343513,0.881766796,0.832497716,0.915460885,0.312340498,0.511914492
1925,0,0.012941642,0.01502266,0.023918511,0.07103461,0.179565638,0.300338238,0.478198707,0.598113596,0.729189992,0.832446873,0.780058861,0.861163616,0.85533452,0.8522228,0.79913497,0.879524648,0.296546638,0.492464066
1926,0,0.013358813,0.015346961,0.02222318,0.071071178,0.171179295,0.289728463,0.468356133,0.591484785,0.712127507,0.821834862,0.76587224,0.841025651,0.839774787,0.83199954,0.774618149,0.855830967,0.293660939,0.487309098
1927,0,0.011478356,0.012957835,0.017049259,0.061758816,0.13279061,0.238903642,0.400541574,0.533940852,0.662707627,0.768154919,0.734428763,0.817980289,0.794367313,0.81537658,0.749455094,0.826520324,0.250800401,0.441731036
1928,0,0.010400648,0.013341396,0.018372709,0.069085583,0.153632745,0.262813151,0.440625668,0.56842351,0.700366378,0.818226159,0.779133081,0.853328824,0.828729749,0.850245297,0.780100882,0.854530573,0.28299281,0.476659477
1929,0,0.008401242,0.012194226,0.017644167,0.063851334,0.143653229,0.241528124,0.40275988,0.52640456,0.649852097,0.740782142,0.718325734,0.79299736,0.772724867,0.788294673,0.72013706,0.792200089,0.252655685,0.44232592
1930,0,0.007099842,0.011122493,0.017928278,0.062931806,0.154965207,0.24261567,0.40898183,0.525741994,0.645922959,0.748634279,0.73449111,0.804974735,0.776606381,0.79464066,0.732664287,0.785077214,0.255009979,0.439937294
1931,0,0.007320065,0.01221141,0.019280568,0.071406625,0.165404975,0.268040776,0.451004148,0.559505045,0.697990716,0.811129153,0.793759465,0.867586017,0.839179575,0.852618992,0.779993892,0.837906659,0.283715904,0.47335422
1932,0,0.006801795,0.011382955,0.017654303,0.068706982,0.157899171,0.273108453,0.46527639,0.565933526,0.701945364,0.848619044,0.839806259,0.910937488,0.885851383,0.907912493,0.843264639,0.916934192,0.281141102,0.488148987
1933,0,0.007171394,0.015185726,0.021546662,0.075686671,0.200466961,0.335455596,0.532703459,0.628446519,0.767492592,0.930349648,0.929964602,0.996997774,0.976191103,0.995481551,0.935203493,1.006561995,0.332984298,0.541932642
1934,0,0.007795613,0.032216199,0.039866664,0.106128566,0.285069466,0.450650722,0.638348639,0.704191029,0.837329626,0.995530248,1.003285885,1.053351879,1.044393301,1.04468894,0.992869854,1.051056385,0.419300616,0.626058221
1935,0,0.007954201,0.038597833,0.046921778,0.105957054,0.299933106,0.451134682,0.640657783,0.704936624,0.826943338,0.988062203,1.005830288,1.056723475,1.054107666,1.055440664,0.992184043,1.062201619,0.417580724,0.63081336
1936,0,0.008605961,0.048263691,0.056455478,0.115541965,0.292972535,0.445234865,0.629721701,0.693216026,0.805920482,0.964714766,0.990668237,1.039262056,1.051145554,1.047699928,0.975143552,1.053797841,0.40825069,0.618648469
1937,0,0.007857498,0.047142737,0.056816533,0.110505119,0.289083064,0.435576439,0.593539894,0.664920449,0.772625208,0.914825439,0.938218117,0.989624143,1.004580736,0.996273279,0.926509678,1.014552832,0.379671305,0.584275901
1938,0,0.008447058,0.044990502,0.05525161,0.104856014,0.269960135,0.416793555,0.576901078,0.657228589,0.770459116,0.906140566,0.933932066,0.994048059,1.006027699,0.996168315,0.923385382,1.011881113,0.379429519,0.590558231
1939,0,0.007303858,0.040103368,0.046076674,0.086379603,0.228107825,0.349721134,0.501051962,0.601305068,0.707728624,0.841634512,0.87344557,0.934933484,0.957835257,0.94357866,0.873878062,0.970640302,0.322393328,0.53783232
1940,0,0.006977133,0.034349807,0.03901156,0.076652311,0.208872765,0.321522087,0.47742027,0.567449749,0.682768464,0.820937395,0.842525065,0.907031298,0.929920971,0.911035776,0.845708311,0.938631535,0.299016923,0.519022226
