FID,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,yield
496,0.00122537,0.563057543,16.31524264,19.71355592,29.21243082,48.30619525,64.83253881,81.46804388,92.33470508,99.96022575,99.84627788,99.99355012,99.9871424,99.99457183,99.99677506,99.84634695,97.73080242,0,0.00436414,0.02827402,0.02458203,0.061649274,0.151896819,0.232542068,0.346031398,0.461505771,0.756127536,0.723304451,0.761302888,0.805486679,0.843290806,0.842412353,0.752025664,0.83796519,-0.00680854,0.011609644,0.017651118,0.056690305,0.118219368,0.193165541,0.240141347,0.32466501,0.354018927,0.341236532,0.345693499,0.315738201,0.31036222,0.281537294,0.296594262,0.230748624,0.002848343,49.89
497,0.00980296,0.449098128,16.13351623,20.77549154,29.74592929,46.3090587,63.43250662,76.11395179,91.42691663,99.95485085,99.61730718,99.98821386,99.95055093,99.9967431,99.99676445,99.85716759,96.91720048,0,0.005294825,0.028729906,0.021787496,0.07531172,0.143567607,0.216749251,0.308778018,0.429908633,0.713560522,0.674562693,0.713562548,0.753959239,0.78935796,0.792478144,0.704624891,0.786773145,-0.007174904,0.008603523,0.018579965,0.059699297,0.11456266,0.189290434,0.22567454,0.311001122,0.333450228,0.320152193,0.329146445,0.315506786,0.307279557,0.28024891,0.291418344,0.220427439,0.005674206,43.34
498,0.003063425,0.348005098,14.4807194,21.42356348,29.78045369,46.512291,61.88363281,76.1133481,90.08870599,99.93550121,99.32497589,99.97527546,99.97964213,99.99891437,99.99892502,99.91668109,97.97329467,0,0.005082533,0.029921163,0.023513077,0.075620249,0.142699271,0.215732798,0.3004632,0.428955913,0.710997224,0.677914381,0.719382048,0.753838122,0.791128397,0.796036005,0.706012905,0.791285038,-0.006679362,0.007106448,0.021443205,0.060653616,0.112693809,0.181718037,0.225532696,0.302751154,0.331115603,0.297468066,0.308030605,0.316904545,0.299885005,0.2786856,0.28288731,0.221084222,0.002589634,49.59
499,0.00735222,0.442358592,16.87263171,23.66285627,31.1159764,46.52017763,62.82594844,74.59483666,89.56545655,99.90970169,98.06503628,99.91292663,99.90002687,99.99019704,99.99355012,99.71000693,96.01692348,0,0.006178848,0.032895807,0.028449485,0.077731036,0.152133241,0.218004987,0.306818902,0.430721313,0.687333465,0.638711214,0.698590159,0.719486177,0.748636603,0.754407525,0.669066727,0.754604518,-0.007747943,0.011295547,0.026318505,0.061592456,0.115337089,0.183202222,0.222868741,0.294752896,0.321305573,0.272558987,0.28908354,0.294092029,0.291910857,0.281520426,0.267780364,0.211678773,0.002631626,52.49
500,0.009190275,0.430717577,13.75948788,20.50659855,29.38799777,46.30723871,61.85001834,76.97601555,89.14616674,98.72184897,96.16662188,99.43212258,99.14604093,99.94897516,99.9460742,99.11378982,95.63632442,0,0.006277199,0.029750306,0.024620527,0.081964314,0.15146786,0.211757377,0.299704045,0.414168328,0.655440509,0.587253988,0.677146852,0.692247331,0.725379348,0.74899143,0.649072707,0.747413218,-0.006857896,0.006113386,0.020478357,0.057958454,0.112622708,0.175385475,0.22263971,0.286948055,0.313422352,0.266154885,0.277739435,0.275439918,0.289435178,0.277730107,0.267424464,0.207784012,0.003243098,49.77
501,0.001838055,0.58695226,15.0617284,22.25941168,31.32335948,50.91970201,69.88836879,82.07414473,95.28242646,99.78715399,99.25747348,99.85810266,99.94195109,99.99240056,99.98065036,99.84742902,98.65932306,0,0.006994951,0.033648651,0.026630696,0.089222804,0.189175069,0.27319932,0.403105497,0.524111092,0.777024388,0.746753454,0.810371697,0.831929207,0.860894859,0.879059374,0.783296227,0.873675823,-0.007155464,0.006180654,0.023465592,0.06504675,0.123356462,0.198671907,0.248488173,0.318486124,0.325095564,0.297326118,0.273842186,0.290718466,0.28828311,0.279669732,0.275207132,0.231284499,0.016539633,48.8
502,0.00245074,0.667213999,11.95819582,17.43270843,25.8456486,42.81406974,59.36927026,68.79425328,87.52353013,97.57162053,94.58532653,98.21768342,98.71423979,99.61785652,99.76887933,98.37690443,96.48762119,0,0.008000378,0.029875237,0.026633842,0.078987747,0.136392713,0.20343557,0.295571655,0.409694225,0.625808477,0.535794377,0.664266348,0.67724961,0.700768888,0.732665658,0.620264649,0.7229532,-0.009581678,0.002994234,0.015974721,0.05037985,0.098430395,0.16271472,0.203147933,0.269085884,0.285835743,0.260317266,0.266918898,0.285308927,0.285875887,0.273226202,0.261634916,0.217262253,0.014022565,48.47
503,0.000612685,0.140917557,5.444901692,9.310775796,17.6181174,31.47674052,45.14508382,60.31910848,81.34796525,89.62321956,84.94490728,91.67898854,93.88121473,96.52757355,97.24439172,94.11477332,94.51285492,0,0.007285811,0.019126825,0.0136632,0.048572149,0.086532719,0.135323912,0.183885917,0.301433593,0.486381173,0.408281475,0.531821132,0.541245103,0.567309558,0.62034601,0.496345222,0.595157206,-0.011413763,-0.004777099,0.005680011,0.031767175,0.065159336,0.124510065,0.16717954,0.271854818,0.249714077,0.225630268,0.239552349,0.262210131,0.272530347,0.256900012,0.270180494,0.228045866,0.013691671,46.69
504,0,0.229144202,6.614235635,11.09651523,18.87064404,30.21832999,42.94279428,53.95504953,78.56973022,87.73018006,76.15879139,85.9414136,90.48427842,93.7282873,95.59795754,91.9429536,91.62807306,0,0.006782895,0.017538581,0.012004725,0.044556022,0.085545495,0.123136014,0.157567978,0.250104994,0.430933833,0.312131554,0.441595137,0.44677493,0.479711354,0.544514418,0.417691171,0.523228645,-0.010885885,-0.003589873,0.005722446,0.034044944,0.066394337,0.117246993,0.149543256,0.258663058,0.22743614,0.189654499,0.209205985,0.247405842,0.259313524,0.243339151,0.27592209,0.222667396,0.020744393,29.75
505,0,0.421527301,7.821782178,14.08078037,22.35784224,35.66271931,52.43726105,66.512751,91.08849774,97.6640688,88.29991938,94.89446052,97.25383049,98.30098141,99.29465056,97.4593144,96.82916307,0,0.008501987,0.020389833,0.014547755,0.047616102,0.1091372,0.142322555,0.188470095,0.292251378,0.536459804,0.486903638,0.572713852,0.595299363,0.610838175,0.656552315,0.532435596,0.632686853,-0.013193487,-0.001746024,0.011213591,0.04128737,0.082625128,0.156282395,0.189120546,0.31677106,0.272722125,0.230319947,0.259555459,0.284380943,0.286680907,0.260043889,0.28764227,0.240163863,0.01635645,54.99
506,0,0.263454563,7.115378753,11.78905655,19.56429421,33.9931811,48.66886689,60.82379006,83.63664076,92.66863746,80.59876377,89.83821553,94.12953507,95.75625326,97.73716743,92.48831371,91.53826177,0,0.009188468,0.023111438,0.018329458,0.05000883,0.111921936,0.14205794,0.187058866,0.262419075,0.420607984,0.36570403,0.448861629,0.479178607,0.510887682,0.56121552,0.413314313,0.513487816,-0.014425441,-0.003209043,0.007458732,0.033719379,0.075266682,0.138913617,0.171998829,0.277809888,0.23937133,0.196786121,0.217401028,0.23916465,0.241697043,0.231924564,0.236892104,0.218810409,0.018258642,34.18
507,0,0.038599157,3.87075141,7.004420058,15.44365383,27.37266131,37.97421821,49.18170348,66.02164304,78.66165009,71.06825244,82.17360924,88.16886317,88.69745527,91.10239183,82.54631233,85.77627251,0,0.007029884,0.015247912,0.007145867,0.05151055,0.090269834,0.120732456,0.171691,0.213808715,0.354734063,0.308956385,0.405099869,0.449754834,0.477193087,0.530004323,0.392055482,0.471145242,-0.013598524,-0.003331795,0.00129017,0.022637559,0.052229274,0.096195571,0.1245142,0.200731397,0.186207771,0.149874225,0.181085274,0.205048054,0.205259502,0.192114726,0.17650409,0.182820678,0.028280031,44.3
508,0.040437212,0.011028331,3.520352035,3.333333333,15.88111568,32.32364289,46.45084591,52.19193667,64.48468221,69.30717549,64.13222252,65.58127076,72.31758277,56.88408934,80.05540166,57.64910838,49.52976704,0,0.002540625,0.005845496,0.00177002,0.026683357,0.119573839,0.184201315,0.263235927,0.295998603,0.345074177,0.308335185,0.326435,0.423536062,0.373704046,0.440078348,0.297876209,0.372657627,-0.00962829,-0.002457575,0.002022638,0.028620357,0.064906701,0.118391916,0.152826145,0.188357726,0.168181866,0.135430455,0.142841563,0.170454741,0.078098081,0.159093827,0.132476211,0.120953798,0.000476665,23.36
509,0.00245074,0.000612685,1.060557788,1.238825032,10.45816187,25.20626562,37.51375138,43.69069863,52.32982777,60.29131954,54.65520021,56.71595414,65.66484517,28.81319252,72.7297239,54.10426766,50.95005194,0,0.005153993,0.004299575,0.005282561,0.021022938,0.077252768,0.131860852,0.180306464,0.193094179,0.225225613,0.190271303,0.204154626,0.32278204,0.281370491,0.358259887,0.206925273,0.301093042,-0.012473303,-0.010925115,0.000639723,0.014013774,0.03851283,0.085532181,0.118589386,0.136975586,0.131205916,0.111539572,0.116282582,0.14564237,0.035377976,0.141519815,0.122128107,0.121255517,0.006932046,19.76
510,0.006739535,0,0.990710182,1.366813075,8.631636563,19.96959192,31.48788294,36.789073,45.96137392,53.58774523,50.46180221,53.2081678,61.03421761,63.66754675,70.35914582,55.95459661,58.46282029,0,0.003911541,0.004994672,0.001650916,0.019713016,0.078216285,0.139630303,0.205149591,0.234233126,0.231710643,0.217475131,0.270892501,0.365269214,0.33208859,0.416089267,0.266075164,0.376466483,-0.011292825,-0.010187128,-0.004969538,0.004350123,0.025145464,0.069629021,0.094847858,0.129857853,0.115393929,0.103934497,0.10581097,0.127983809,0.106842041,0.143983826,0.121942751,0.137855172,0.007667868,26.28
511,0,0.003063425,2.747219166,3.278598796,11.8494132,26.49603242,38.19948662,46.68062599,61.20835239,75.19269014,72.20102123,76.47701704,82.35936998,82.05662672,88.29423476,80.98056614,82.15027701,0,0.003873589,0.00491884,0.00409615,0.019481136,0.082721941,0.157912686,0.227012381,0.291347921,0.30837968,0.344455391,0.399562627,0.502470016,0.511871934,0.572729766,0.461058974,0.6172418,-0.011787074,-0.008431094,-0.002752782,0.013771668,0.043311212,0.081971943,0.110072039,0.173616931,0.160844341,0.147583142,0.157999799,0.176103398,0.157930762,0.196583107,0.189196721,0.222439662,0.010622912,27.89
512,0.056979708,0,0.639030487,0.966368668,5.194939796,14.2371812,21.51867093,28.09519765,38.06249047,45.83284063,47.95055093,55.45055181,63.45422701,69.1525277,73.90099223,68.53142313,79.06169111,0,0.00431172,0.006749342,0.004416615,0.015273925,0.056704335,0.133480698,0.184254229,0.24340488,0.21734035,0.269234359,0.328368872,0.393319041,0.411776662,0.515821338,0.435058773,0.620389283,-0.012042842,-0.014731106,-0.008802155,0.001311864,0.014534696,0.038393516,0.05909105,0.102401204,0.09492372,0.087861709,0.103750572,0.125310719,0.13698782,0.16741766,0.168199167,0.235539794,0.035040148,27.55
