FID,avEG210326,avEG210407,avEG210419,avEG210429,avEG210505,avEG210513,avEG210520,avEG210527,avEG210602,avEG210610,avEG210617,avEG210624,avEG210630,avEG210709,avEG210714,avEG210719,avEG210727,avEG210804,avEG210806,sdEG210326,sdEG210407,sdEG210419,sdEG210429,sdEG210505,sdEG210513,sdEG210520,sdEG210527,sdEG210602,sdEG210610,sdEG210617,sdEG210624,sdEG210630,sdEG210709,sdEG210714,sdEG210719,sdEG210727,sdEG210804,sdEG210806
"1125",-0.007564291823655,-0.000673065078445,-0.004939115140587,0.016272233799100,0.041698299348354,0.097590498626232,0.170500352978706,0.207043588161469,0.300045788288116,0.296051770448685,0.261363983154297,0.248229429125786,0.269009023904800,0.228273212909698,0.218706503510475,0.209563404321671,0.204916849732399,0.006664268672466,-0.024034546688199,0.008714389055967,0.009526037611067,0.028413429856300,0.036617591977119,0.076937086880207,0.111348547041416,0.142566218972206,0.127280533313751,0.165138036012650,0.098916940391064,0.048672899603844,0.066010378301144,0.066523559391499,0.035775400698185,0.064811334013939,0.059416979551315,0.089076519012451,0.027560137212276,0.033148169517517
"1126",-0.008627608418465,0.000037068686652,-0.000858018756844,0.011774528771639,0.041485771536827,0.095071807503700,0.161479011178017,0.208023205399513,0.293238013982773,0.295033186674118,0.269525289535522,0.248982578516006,0.271269559860229,0.239547014236450,0.221400469541550,0.205094307661057,0.194491893053055,0.001092035672627,-0.024245170876384,0.008586225099862,0.008840421214700,0.028298536315560,0.035028517246246,0.078228861093521,0.109806098043919,0.138909071683884,0.134375423192978,0.161746382713318,0.111272811889648,0.063760206103325,0.071821495890617,0.074513353407383,0.052651446312666,0.068313442170620,0.065424777567387,0.089607268571854,0.025429038330913,0.031248955056071
"1127",-0.008539826609194,-0.001752049196512,0.000050191174523,0.014508640393615,0.043610986322165,0.093560725450516,0.159788757562637,0.200809389352798,0.279331684112549,0.294674694538116,0.274069458246231,0.251073867082596,0.270895123481750,0.246627286076546,0.223533391952515,0.211499407887459,0.183211192488670,-0.002463607816026,-0.016856841742992,0.008023147471249,0.008556877262890,0.027005199342966,0.035807214677334,0.075344011187553,0.108608089387417,0.139975383877754,0.124556981027126,0.149615153670311,0.108814634382725,0.064375497400761,0.070791944861412,0.071139112114906,0.056546896696091,0.066843070089817,0.064089886844158,0.076244443655014,0.027306748554111,0.031919773668051
"1128",-0.010119220241904,-0.001508840010501,-0.001004069228657,0.008757656440139,0.038275800645351,0.086376681923866,0.146233260631561,0.189369156956673,0.264886707067490,0.280873596668243,0.262788176536560,0.246722891926765,0.267659217119217,0.240576162934303,0.219191834330559,0.206022411584854,0.179039731621742,-0.001331695821136,-0.021564297378063,0.007935469038785,0.008208923973143,0.024726435542107,0.032385420054197,0.070034861564636,0.107792474329472,0.135464459657669,0.127726718783379,0.154845297336578,0.114453710615635,0.075274333357811,0.073471210896969,0.073036789894104,0.062172695994377,0.064959824085236,0.067371621727943,0.079297982156277,0.025418020784855,0.031585741788149
"1129",-0.009919030591846,0.002047342713922,0.002752660075203,0.012465978972614,0.041922785341740,0.097270824015141,0.161038219928741,0.202772632241249,0.288194566965103,0.298535376787186,0.275720447301865,0.260443866252899,0.271957933902740,0.247950583696365,0.220061287283897,0.214810088276863,0.166423872113228,-0.003766179550439,-0.026382040232420,0.007834156043828,0.008149195462465,0.025419274345040,0.035393625497818,0.076733134686947,0.111808322370052,0.138410791754723,0.120623223483562,0.153980225324631,0.116948850452900,0.068029291927814,0.071459852159023,0.073692366480827,0.066103376448154,0.062098115682602,0.070226036012173,0.075231678783894,0.026448480784893,0.033003609627485
"1130",-0.007082826457918,-0.000006099915026,0.003411158220842,0.018848324194551,0.049288265407085,0.097109325230122,0.162548094987869,0.199161648750305,0.295382171869278,0.296372920274734,0.273365288972855,0.257638126611710,0.259202420711517,0.248096510767937,0.219653531908989,0.210246220231056,0.166652068495750,-0.000642767816316,-0.024575939401984,0.008094833232462,0.008183395490050,0.024305198341608,0.036453749984503,0.077321372926235,0.112427189946175,0.139355480670929,0.120103456079960,0.161611542105675,0.113706134259701,0.059997308999300,0.061707187443972,0.060136951506138,0.059587717056274,0.057591173797846,0.065271109342575,0.074223652482033,0.027221992611885,0.033856365829706
"1131",-0.008063686080277,0.000128062602016,0.004655408207327,0.015887180343270,0.047705359756947,0.097542241215706,0.167364597320557,0.194961592555046,0.285260587930679,0.290830701589584,0.261230617761612,0.249170824885368,0.238612204790115,0.191174075007439,0.155195161700249,0.133636355400085,0.078573703765869,-0.008262913674116,-0.022097690030932,0.008562148548663,0.008381392806768,0.024113230407238,0.034276921302080,0.075640805065632,0.110225275158882,0.139125019311905,0.115303330123425,0.149621739983559,0.108284913003445,0.052699808031321,0.061417914927006,0.066370643675327,0.079444907605648,0.084513328969479,0.097367264330387,0.101922959089279,0.027738107368350,0.030087096616626
"1132",-0.007290876470506,-0.000852976634633,0.007729290518910,0.017024829983711,0.055838786065578,0.117591753602028,0.190742984414101,0.211980655789375,0.315270662307739,0.301172435283661,0.273372381925583,0.260448783636093,0.259691536426544,0.230382263660431,0.207055196166039,0.205589100718498,0.164682283997536,-0.002779628150165,-0.023918403312564,0.008696003817022,0.009102465584874,0.029287276789546,0.039672147482634,0.085957847535610,0.121197842061520,0.148286297917366,0.107668064534664,0.155460461974144,0.093673273921013,0.048670597374439,0.059449944645166,0.053100116550922,0.049363862723112,0.057035420089960,0.077939659357071,0.092612989246845,0.029490211978555,0.035698615014553
"1133",-0.007368461694568,0.001611902145669,0.015461875125766,0.033668115735054,0.084033891558647,0.153549864888191,0.219720333814621,0.245026335120201,0.337110280990601,0.316849082708359,0.285347074270248,0.278126537799835,0.270974099636078,0.251721411943436,0.228442758321762,0.224505349993706,0.188465401530266,-0.004270299803466,-0.028379118070006,0.009667810052633,0.013009746558964,0.042417999356985,0.053542733192444,0.113926373422146,0.135442927479744,0.150173351168633,0.101050481200218,0.164832115173340,0.101152263581753,0.052694797515869,0.066601678729057,0.053105365484953,0.048788364976645,0.049758899956942,0.069580368697643,0.085387527942657,0.031041115522385,0.036514449864626
"1134",-0.012029323726892,-0.001146225724369,0.017901543527842,0.033525571227074,0.085364006459713,0.154026046395302,0.228619277477264,0.250493854284286,0.338561058044434,0.339409947395325,0.288722813129425,0.281247586011887,0.271520942449570,0.258385449647903,0.238032162189484,0.242094144225121,0.206872776150703,-0.004065077286214,-0.029143415391445,0.009444205090404,0.014396597631276,0.046177245676517,0.057475633919239,0.117159210145473,0.137257665395737,0.158747270703316,0.108383558690548,0.163308143615723,0.115569211542606,0.059034250676632,0.065860494971275,0.056877315044403,0.057467479258776,0.056639835238457,0.079320065677166,0.093377240002155,0.032861225306988,0.038317874073982
"1135",-0.007533853407949,-0.001100855064578,0.021539734676480,0.038388255983591,0.088199101388454,0.146988034248352,0.224484041333199,0.249721974134445,0.337271481752396,0.339595168828964,0.289645671844482,0.283434748649597,0.280066072940826,0.271841883659363,0.250911116600037,0.247418060898781,0.216480627655983,-0.002784153912216,-0.028367271646857,0.008811915293336,0.015369256958365,0.048935234546661,0.058624122291803,0.120931699872017,0.138068109750748,0.157226577401161,0.113327592611313,0.168414130806923,0.116320617496967,0.068048790097237,0.073041394352913,0.071114972233772,0.071728944778442,0.068549796938896,0.090241104364395,0.092854171991348,0.030869187787175,0.035903867334127
"1136",-0.009800832718611,-0.000582944368944,0.017417874187231,0.035377457737923,0.080470427870750,0.136840134859085,0.211957111954689,0.233436629176140,0.326260745525360,0.333518207073212,0.294012516736984,0.278269052505493,0.284986466169357,0.265159368515015,0.246802479028702,0.243735566735268,0.216089800000191,-0.004863107576966,-0.032395042479038,0.008264704607427,0.014682163484395,0.045923400670290,0.057758390903473,0.114672057330608,0.131644040346146,0.153465166687965,0.118092544376850,0.157731607556343,0.120147936046124,0.075426101684570,0.075680926442146,0.080440051853657,0.070640504360199,0.068540871143341,0.085395477712154,0.090866751968861,0.031440284103155,0.035841982811689
