,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,132cc21,134cc21
3369,0.00122537,0.127438486,11.61164457,15.65005335,24.98460601,50.59877697,66.88241046,81.76807587,98.54235424,99.99140016,100,100,100,100,99.99892502,99.9285838,95.7626385,0.654637832,0.64828274
3370,0.00122537,0.172164494,12.22772277,18.31062338,27.17390642,51.7040686,69.01284188,83.74384236,98.71726871,99.99032518,99.99249973,99.9967856,100,100,99.99676445,99.85175727,97.32204487,0.581642323,0.501862089
3371,0,0.087613959,12.08169486,19.27324697,27.22374263,52.10026936,67.93301552,82.67541609,98.59777473,99.99785004,100,100,100,99.99567175,99.9946251,99.83119806,95.90979917,0.53630363,0.593109741
3372,0.000612685,0.227306146,13.60951075,20.19143423,28.42493522,53.39306948,71.00468091,85.82605389,99.09830818,99.99355012,99.99892502,99.99892853,100,100,99.99677506,99.90802458,96.43784626,0.477077411,0.531570627
3373,0,0.2046368,14.18225156,17.51379363,28.75171468,53.58356184,70.13812492,85.14360756,98.80088009,99.97527546,99.96249866,99.98172534,99.99570008,100,100,99.93182999,96.8122403,0.72303283,0.481702724
3374,0,0.156847368,14.39597622,18.54046639,28.49540838,53.48346235,68.24576022,83.36361825,97.74668496,99.81295351,99.60225746,99.68180597,99.90002687,99.97186634,99.94947595,99.10296918,93.95559211,0.645952753,0.39257711
3375,0.001838055,0.093128125,11.69090078,17.31800766,27.01966164,50.4283045,66.00171128,82.12002487,97.84788904,99.94517603,99.57645794,99.76213436,99.98285653,99.95996364,99.99785004,99.6721347,96.013805,0.566393273,0.37878386
3376,0,0.140917557,13.96100721,19.11415943,27.68602347,51.03557475,67.4523331,82.39530574,98.2746608,99.99570008,99.7642773,99.9677506,99.99247514,99.99891794,99.99460742,99.50441482,96.19871018,0.554759423,0.568706299
3377,0,0.118248211,12.22862369,18.04785856,25.60177583,49.40789633,68.1029214,82.74409654,98.01676574,99.8774523,99.79252889,99.95055093,99.9774992,99.98371548,99.9946251,99.7673563,96.73000346,0.505397074,0.616452164
3378,0,0.096804235,12.56028045,18.73738759,26.5965554,50.90999539,68.43814332,84.55106883,98.5569273,99.97957538,99.96990056,99.99892853,99.90432679,99.55960007,98.82657463,95.58409799,91.15737535,0.611212437,0.449872147
3379,0,0.105381825,11.49248258,19.57246245,26.8001829,51.26671358,68.90600171,83.64795441,98.57399787,99.99892502,99.94964106,99.98817522,99.99142827,99.98485111,99.9677506,99.76767414,96.91179017,0.67200799,0.664198029
3380,0,0.093128125,13.25407712,19.34583143,27.90670802,51.3847838,68.15937163,82.94803984,98.22271116,99.96990056,99.96452567,99.97957538,99.95807579,99.95130713,99.95915077,99.58665166,95.08520276,0.656798353,0.762872816
3381,0,0.241397902,14.24295077,22.00823045,30.48803536,55.36108617,73.09008679,86.7641821,98.8233501,99.99032518,99.99785004,100,99.76887933,98.16265582,97.23899914,88.09729917,74.17654952,0.297463957,0.492312916
3382,0,0.865723949,18.76665444,23.97439415,34.41914342,57.631828,77.93231056,92.58854566,99.35497638,100,99.9774992,99.97205052,97.59241401,88.28274275,83.14431604,62.50649238,40.7591759,0.176453289,0.339526149
3383,0.00122537,0.955175963,18.30757506,24.97111233,34.6664234,56.20070858,75.45287862,88.11742777,99.11624496,99.99785004,99.92582639,100,99.99247514,99.84851108,99.49905939,92.96875,74.88313712,0.277922529,0.190983459
3384,0,0.528747182,15.48422497,22.13260174,31.66163695,54.49659055,73.99764729,88.03675241,98.77518671,100,99.99355012,100,99.99785707,99.98917936,99.95578085,98.27843663,85.03774806,0.300720862,0.342709206
3385,0,0.0900647,12.11160005,20.91571407,28.79804908,51.46933922,69.38271605,84.42067263,98.55997561,100,99.99571413,100,99.99892502,100,99.99785004,99.8658241,95.36227493,0.30171334,0.300185221
3386,0,0.012253701,10.18747142,18.3252553,25.16572402,48.42267466,66.9327762,82.16555113,98.25941168,100,99.99247514,100,99.9967856,100,100,99.87556267,96.74407029,0.560187598,0.463665397
3387,0,0.020218606,7.427526292,14.95165116,22.91784789,46.09429979,63.70798191,79.8634462,96.55237746,99.61320047,99.59580758,99.839828,99.80542865,99.830116,99.88891286,99.48493767,95.55488227,0.49396387,0.535814704
3388,0,0.072909519,11.81884855,17.47050754,26.40024387,50.22446553,67.1453779,82.6053885,98.28501753,100,100,99.99892502,99.99355012,100,99.99892502,99.37348511,94.18174342,0.495594114,0.525204511
3389,0,0.736447407,19.45739979,24.56089011,35.18031989,57.43041569,75.76457646,88.27719345,99.20195092,100,99.99892502,99.99892853,100,100,100,99.86474204,98.16652286,0.49830641,0.714065932
3390,0,1.045853348,19.34827008,26.00335315,35.71284865,56.15216201,73.12212038,85.44935375,98.2086542,99.95700081,99.94625101,100,100,100,100,99.91884522,97.63028047,0.478166629,0.463665397
3391,0.00122537,1.248039408,20.80919203,25.80733443,35.39277549,56.94993812,74.66263293,85.06178727,98.22953818,99.8774523,99.95714133,100,100,100,99.99892502,99.87015235,97.11630021,0.390828557,0.407431379
3392,0.000612685,1.320948927,20.06584362,26.64593812,35.93687283,58.94464801,75.89880894,88.47811089,98.79835391,99.92152647,99.93657619,99.98602526,99.99892502,99.99675381,99.99784297,99.75138961,97.08924861,0.300720862,0.542180819
3393,0.000612685,0.98397216,19.87623838,27.07087334,35.82502667,59.76546385,75.47793668,88.31263696,98.52156683,99.9946251,99.98065036,100,100,100,99.99677506,99.82362361,98.02308024,0.521735342,0.332099014
3394,0,1.176355259,20.92592593,25.76375553,36.47248895,59.20248004,74.80516616,87.62926429,98.54174306,99.96990056,99.9871424,100,99.99892502,100,100,99.87448061,97.83587258,0.372372764,0.157030844
3395,0,0.975394569,20.35970127,26.64837677,35.26911148,55.6322648,71.02860286,82.61021799,96.88096327,99.63988175,99.89035206,99.99892502,100,99.99891794,99.98382226,99.7078428,95.73450485,0.562036402,0.060478095
3396,0,0.877977649,18.81420515,25.93018306,34.43682365,54.95158825,71.30734732,84.0549013,97.54061881,99.88175222,99.9807136,100,100,100,100,99.75328947,97.9126991,0.457052284,0.042440769
3397,0,0.933119302,17.23505684,24.38652644,34.01005944,54.78414909,72.32245447,84.10796322,97.57059039,99.68825585,99.86455254,99.99785707,100,100,99.99245039,99.44490132,93.67425554,0.40494181,0.061539114
3398,0,0.69049603,17.68937662,24.59015394,33.58450404,55.56674513,71.70191648,84.26009212,96.79804908,99.38618651,99.77855415,99.99892502,100,100,99.99570008,99.43083449,96.76660915,0.481434282,0.097613768
3399,0,0.558768748,16.89925316,24.45115074,33.10775796,55.35623286,70.74074074,81.39879692,97.09678403,99.25718893,99.67105968,99.99892502,99.99355012,100,100,99.72082756,93.4069858,0.492878235,0.068966249
3400,0.00122537,0.792201745,17.34201198,25.71550204,33.77351014,54.79900262,70.51698363,82.83780765,97.88690748,99.78070411,99.90110185,99.99785707,100,100,99.99784297,99.76843837,95.86327043,0.343103617,0.233424227
3401,0.00122537,0.753602588,20.16034141,26.60265203,37.4043666,57.47409546,76.28223934,86.50580444,98.64625351,99.95807579,99.99355012,100,99.99892502,99.99891794,99.99892502,99.8063106,97.33487708,0.371287129,0.409553417
3402,0.000612685,1.705715126,20.69440634,28.53894223,36.48955952,59.21400665,77.84224586,90.7747425,98.83615303,99.95377587,99.99142827,100,99.99892853,100,100,99.70135042,96.16479724,0.416883794,0.507167185
3403,0.00245074,1.301955691,19.98716538,27.18731901,36.24569425,58.27792473,75.67962352,92.6869465,98.02773967,99.93335125,99.98065036,100,99.99785004,100,99.99460742,99.60504675,97.34786184,0.273393676,0.542180819
3404,0,1.222919322,20.47797592,28.17429909,36.34616554,58.25123153,75.13785413,95.05641447,98.42195331,99.99892502,99.99032518,99.99892502,99.9946251,100,100,99.7554536,96.47463643,0.364773319,0.530509608
3405,0.000612685,1.220468582,19.6409084,28.3657979,35.78905655,56.55257347,73.02896956,95.83822515,97.9180003,99.89680193,100,99.99892853,100,99.99891794,99.99568594,99.67105263,94.55289127,0.382315459,0.321488822
3406,0.00122537,1.09364278,19.52939738,27.70065539,35.73906417,57.13254386,76.19473581,94.06999137,97.95336077,99.5786079,99.98710024,99.99785004,100,100,100,99.79372937,94.48688539,0.326776099,0.236607285
3407,0,0.865723949,19.0434385,26.5849718,34.17563705,54.59123007,74.54406552,90.44485629,97.61438805,99.6108573,99.92797635,99.99570008,99.99785707,99.77961612,99.73985488,98.67555402,92.27135462,0.430997047,0.157030844
3408,0.004288795,1.129178512,19.13366865,24.95286748,34.69897881,55.29738649,74.69610822,90.09936941,98.48184818,99.93657619,99.98928533,100,100,99.99891794,100,99.93507618,97.44849377,0.29626725,0.430773801
3409,0.004288795,1.024409372,18.44762254,26.83737235,34.64167048,54.96614817,72.06148393,86.74063834,97.56805365,99.82370331,99.99785004,99.99892502,99.9903568,99.98160492,99.7549046,98.68962084,92.48723165,0.207356262,0.404248321
3410,0.00245074,1.440422508,19.45130316,26.80079256,35.4363559,55.02402238,73.02347809,87.83632862,97.32296906,99.70760548,99.9785004,99.9935712,99.88927708,99.14625173,99.12066649,96.57418629,84.20186981,0.220022002,0.200532632
3411,0,1.174517204,18.6611797,27.2007316,35.56652949,55.40901259,71.86550338,87.2913666,96.84451779,99.48293469,99.85856638,99.87637732,99.93442623,99.52449192,99.28062985,91.90508137,71.90205159,0.233411499,0.193736561
3412,0,1.19718655,17.48624862,27.100894,34.84346898,54.47050402,72.13604694,87.97879854,95.36838897,98.89169578,100,99.70868046,99.99892853,99.8777268,99.72588014,93.6515322,77.3446937,0.305063401,0.183556324
3413,0.00367611,1.225982747,19.25682061,26.86602652,35.84504044,56.64599966,74.34258896,91.41135775,96.65172992,99.16366568,99.89142704,99.68284582,99.68718087,98.46022334,97.94219154,85.83362188,60.93208968,0.190613121,0.163396959
3414,0.00490148,0.734609352,17.34369761,25.3802774,34.43072702,51.79451091,67.65432099,88.26071996,93.34186862,98.15210965,98.94246223,99.66675625,99.99464267,99.99134349,99.97742542,97.23208102,81.91330506,0.438596491,0.470031512
3415,0,0.977232624,17.34017846,25.52720622,33.95823807,53.07821107,69.5274973,90.58108713,94.7842562,99.14539102,99.22816447,99.7495297,99.68395593,99.22919924,99.12389143,88.88287742,65.81219702,0.238839673,0.213264862
3416,0,1.353421233,17.74302698,24.30882442,34.0752904,54.210852,73.01002322,93.86353072,97.1370218,99.70545552,99.70438054,99.92285439,99.70963249,99.34318733,98.92148404,88.97918109,64.07031924,0.156847368,0.235546266
3417,0,1.645059308,19.19341564,26.19661637,35.42142966,55.36472615,76.02502206,96.15029369,98.41731443,99.9838753,99.91963999,99.9731255,99.91292663,99.70459661,98.75087342,90.13807133,63.71407548,0.237754039,0.213264862
3418,0,1.312371336,19.24275761,25.64609053,34.93674745,54.00215972,72.29006234,92.41415621,97.53697592,99.96452567,99.86025262,99.87100242,98.84924462,97.01999654,96.88148347,90.68884176,75.55293456,0.266858369,0.195227536
3419,0,0.254876973,12.65904588,19.23060509,28.26065803,45.99662695,59.69757867,78.95248387,90.14296601,94.57887665,95.79360387,96.59380692,97.54259608,97.81027445,98.69283865,96.17205142,91.30886427,0.814226159,0.343770226
