FID,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21
2904,-0.018069848,-0.005726048,0.007744828,0.036157969,0.076463193,0.15212974,0.1851082,0.264309883,0.317857444,0.29420653,0.291321218,0.272952378,0.248757929,0.271903872,0.27346921,0.318133384,0.033961199
2905,-0.01303462,-0.005546931,0.0063363,0.040040266,0.079128981,0.155018151,0.176754802,0.259473085,0.319344908,0.288997412,0.287544489,0.27636975,0.247255832,0.257938385,0.263281137,0.291596949,0.02605786
2906,-0.012801212,-0.002827,0.00312252,0.038495883,0.081578642,0.158103168,0.182194009,0.271140397,0.302126437,0.289508879,0.281248987,0.272261351,0.254004091,0.249167815,0.264036238,0.272099227,0.021697605
2907,-0.01135669,-0.00198708,0.009736551,0.043011099,0.08502569,0.153314337,0.180112079,0.267643303,0.290949702,0.302809387,0.278467625,0.276415557,0.256996959,0.24800171,0.256505936,0.260960966,0.017500458
2908,-0.009714156,-0.002759945,0.007177001,0.034437381,0.066527575,0.129594073,0.155036137,0.23296082,0.257835895,0.276586235,0.253392637,0.262883723,0.243339971,0.228142709,0.228255063,0.233174488,0.013622905
2909,-0.009792146,0.001870986,0.015093425,0.05214639,0.095872566,0.177180737,0.208627954,0.288393229,0.298490286,0.307838321,0.262727529,0.272186697,0.251428306,0.230380088,0.230594084,0.222204417,0.009694846
2910,-0.008925252,0.000461276,0.013560877,0.050814115,0.092350267,0.176622286,0.208202392,0.28781262,0.304474324,0.298203677,0.266385734,0.267578065,0.251314074,0.22915341,0.221090838,0.22050859,0.008526849
2911,-0.008099861,0.005096938,0.016032493,0.061439723,0.100567803,0.186205447,0.218448892,0.300255507,0.301609278,0.276920527,0.256518692,0.255621195,0.232462719,0.217287034,0.199384272,0.193577155,0.009104443
2912,-0.005394047,0.005836977,0.014624736,0.055691,0.101986848,0.181864649,0.216234118,0.298613489,0.297792047,0.277848512,0.254742026,0.260507375,0.231905252,0.214140981,0.193343148,0.188436627,0.001852435
2913,-0.005606121,0.004856933,0.013807632,0.058863226,0.102671258,0.179613486,0.209186479,0.29259488,0.287224233,0.267112434,0.246043071,0.264179945,0.234700933,0.208388299,0.1847215,0.175478682,0.00086148
2914,-0.001837602,0.003859875,0.022887759,0.060168747,0.106746465,0.191785038,0.218785122,0.311963409,0.291684359,0.273000956,0.251313508,0.269359678,0.2436001,0.213747099,0.190639541,0.175227433,0.00375997
2915,0.002801043,0.003321007,0.016107142,0.055144973,0.107011773,0.19594422,0.21846287,0.30749169,0.295484006,0.271629661,0.248817831,0.270603269,0.244901121,0.216558963,0.18873398,0.1703538,-0.000857699
2916,0.005429571,0.004390125,0.018852077,0.054133475,0.103113823,0.188591704,0.219404623,0.309880376,0.298715472,0.27654475,0.249391422,0.273544699,0.250091553,0.215896502,0.191125855,0.174932107,-0.008780509
2917,0.008662301,-2.78E-05,0.018106647,0.044606782,0.087627344,0.171774074,0.194188878,0.28181681,0.288556337,0.274933547,0.249601439,0.26562044,0.246003956,0.211245865,0.197258562,0.187816009,0.003187075
2918,0.006528203,0.004571242,0.018692205,0.047621042,0.103143275,0.186568931,0.208509341,0.300426543,0.299033076,0.271789879,0.254901022,0.26094538,0.24133262,0.203396216,0.199828699,0.176375538,0.002218753
2919,0.003962414,0.006697244,0.017654099,0.057203639,0.107173629,0.187019527,0.2107784,0.295278281,0.303333849,0.258878261,0.255228698,0.251495659,0.242773354,0.193202883,0.211722001,0.192366287,0.001882696
2920,-0.001195307,0.002378035,0.017722001,0.058506012,0.109702185,0.192065313,0.222533673,0.308692932,0.303725988,0.271317929,0.26306048,0.259223044,0.24507156,0.190271839,0.212146297,0.201075032,-0.000942063
2921,-0.006120032,0.01074471,0.027860966,0.074869379,0.131624565,0.219199389,0.243552908,0.321516722,0.313286155,0.291028202,0.277257115,0.273710728,0.260317206,0.216383442,0.251047522,0.232415065,2.55E-06
2922,-0.003909424,0.014064056,0.03341829,0.085370615,0.135032624,0.220409706,0.239382118,0.310194731,0.304700941,0.282937348,0.281074733,0.276136249,0.267617553,0.226965442,0.264248699,0.240821868,0.003993244
2923,-0.006925728,0.009618715,0.037287511,0.083534531,0.130415514,0.207899988,0.229744136,0.306101143,0.305961043,0.28495574,0.27997154,0.289677292,0.274392754,0.243576035,0.271308005,0.241499051,0.00392991
2924,-0.014853847,0.006984442,0.035827134,0.079734467,0.130626649,0.206427753,0.23846519,0.300299942,0.309056073,0.284283757,0.276494473,0.290186852,0.273720115,0.255032033,0.276406616,0.239728644,0.009137828
2925,-0.011733027,0.006648467,0.02914916,0.072768174,0.115282141,0.197999939,0.219353601,0.286568373,0.296961308,0.276967347,0.278351277,0.287445784,0.270047396,0.250669122,0.261257887,0.222801358,0.003586875
2926,-0.012931949,0.012024827,0.02981117,0.077258728,0.119583145,0.195865616,0.217506319,0.289378673,0.302476138,0.276435107,0.278371185,0.287280023,0.253758639,0.24698852,0.249473646,0.214154497,0.000985211
2927,-0.008979114,0.009404041,0.035008851,0.088343695,0.134482548,0.216931954,0.249246269,0.314813554,0.315885484,0.27805075,0.274679542,0.294513136,0.25318557,0.239960119,0.247224465,0.215934888,-0.000990412
2928,-0.009475044,0.015277287,0.03054836,0.084479652,0.135547489,0.210593939,0.257740587,0.320780993,0.312539905,0.284907311,0.274299979,0.303683966,0.258909672,0.229974598,0.243608177,0.214885026,-0.002633329
2929,-0.011124037,0.014219949,0.03482331,0.0839331,0.140966266,0.228628784,0.283431739,0.31856516,0.310697973,0.292765468,0.280364484,0.297727287,0.266118646,0.226739362,0.238568395,0.202230826,-0.000265421
2930,-0.011565887,0.012133158,0.031265859,0.075494163,0.13624993,0.217674792,0.268375188,0.328996301,0.314077646,0.299691528,0.281890094,0.290079355,0.267756045,0.232021958,0.231168881,0.19592154,-0.00357827
2931,-0.011059125,0.003499788,0.022546828,0.061711494,0.113097176,0.190183699,0.230977446,0.3039352,0.297597468,0.288178623,0.269752562,0.279325604,0.265954345,0.235254034,0.230499133,0.189122662,-0.001816226
2932,-0.011995253,0.002984763,0.018973704,0.063986883,0.108252704,0.19011192,0.217202097,0.311054945,0.300078481,0.280542195,0.26540944,0.266914785,0.260879427,0.228524119,0.223731071,0.176285967,-0.008132365
2933,-0.008216087,0.00688833,0.021786304,0.060440104,0.112853453,0.191629723,0.220529094,0.314890444,0.296759933,0.278883338,0.263938814,0.268808872,0.253745675,0.227541044,0.211583182,0.181840286,-0.010688215
2934,-0.012550728,0.006255109,0.022330422,0.064304717,0.118047774,0.201283589,0.222103268,0.315262884,0.284776598,0.275193065,0.254968792,0.262170851,0.238099769,0.224391356,0.202654615,0.184133083,-0.008921334
2935,-0.014897476,0.004065285,0.01811997,0.0569034,0.110082403,0.186592489,0.214851767,0.307304323,0.298410445,0.268813401,0.258165777,0.259677827,0.239134714,0.21926032,0.198360354,0.181334794,-0.005013647
2936,-0.01208855,0.006328015,0.024055945,0.066635832,0.114824332,0.192544267,0.220561981,0.313387066,0.313434482,0.266142428,0.25938797,0.262781501,0.240873039,0.214298844,0.192729637,0.179008082,-0.003470932
