,0cc21,13cc21,25cc21,35cc21,41cc21,49cc21,55cc21,62cc21,69cc21,77cc21,84cc21,91cc21,97cc21,111cc21,116cc21,121cc21,124cc21,0ch21,13ch21,25ch21,35ch21,41ch21,49ch21,55ch21,62ch21,69ch21,77ch21,84ch21,91ch21,97ch21,106ch21,111ch21,116ch21,124ch21,0eg21,13eg21,25eg21,35eg21,41eg21,49eg21,55eg21,62eg21,69eg21,77eg21,84eg21,91eg21,97eg21,106eg21,111eg21,116eg21,124eg21,labels
1704,0.0,0.00735222,2.112211221,8.834154351,20.67611645,34.78912374,51.43735908,47.61622348,43.59030636,12.68153722,7.808850316,49.26525128,48.71808654,25.87538954,75.66783123,58.6175554,76.7633736,0,0.012565472,0.004935429,0.007152331,0.062461585,0.104506612,0.208034664,0.178346828,0.154225692,0.117097124,0.075083844,0.092547841,0.130093858,0.197667092,0.267396092,0.184700057,0.414158016,-0.017706137,-0.009240808,0.006974784,0.058491252,0.075712964,0.121602595,0.115282819,0.107629389,0.05820078,0.050178379,0.081969984,0.091781996,0.035518888,0.142008007,0.152333081,0.205828011,0.024228612,5
1705,0.0,0.00490148,2.488726595,8.826703246,20.03597013,33.09349899,52.01381249,47.51432245,45.56988264,14.15103467,4.541947927,51.95328405,55.37340619,50.43390755,71.78930395,59.66282895,75.09164203,0,0.011282218,0.005989359,0.00775092,0.063811257,0.101295136,0.213768959,0.1811845,0.15741545,0.1155352,0.066875041,0.096907094,0.149554431,0.218835503,0.286881238,0.17128022,0.39563182,-0.017817358,-0.01128643,0.003687956,0.061038971,0.069714107,0.12145263,0.112580046,0.111850478,0.057810742,0.045681648,0.083158515,0.10146977,0.060593005,0.12585856,0.150845334,0.192839578,0.018301172,5
1706,0.0,0.000612685,2.874954162,7.522633745,20.43361917,32.30726298,48.821194,45.09414485,41.08641975,15.46681,6.407791875,40.86535877,53.34587476,65.19563141,67.39646247,53.92680921,68.78882657,0,0.009776866,0.008845779,0.01104125,0.057869315,0.09039364,0.199128494,0.161218718,0.143625543,0.105663098,0.057815675,0.083282046,0.144355267,0.197252914,0.266381323,0.162585318,0.344795823,-0.0160206,-0.008907015,-0.001598371,0.059756562,0.069940731,0.110029958,0.103587106,0.100499325,0.053786218,0.041039314,0.067033477,0.093547605,0.109889895,0.115580924,0.132847771,0.169782788,0.014693794,5
1707,0.0,0.00122537,3.776433199,8.335314739,23.32571254,34.23220656,50.65517663,47.4721923,45.60811637,21.33297501,8.49887496,41.02217936,56.24343727,65.39993075,71.88712712,47.01566828,66.34059534,0,0.009532589,0.010113914,0.012666439,0.062740222,0.100072332,0.218445957,0.168199226,0.15135859,0.128946856,0.072901063,0.089916207,0.150416985,0.2075499,0.284817338,0.156666011,0.366857946,-0.018176451,-0.01096166,-0.003452674,0.068216145,0.071610406,0.116211824,0.108494282,0.108416416,0.057347275,0.040997144,0.072912939,0.099286616,0.121662661,0.11960303,0.12001133,0.165015355,0.011620685,5
1708,0.0,0.0,3.56215077,8.24874257,20.52674897,31.45126065,45.68118322,44.32384138,41.54549611,24.63316313,13.42869388,38.69174953,53.49207202,61.6321849,70.51121657,45.703125,65.34188956,0,0.0090709,0.011365037,0.01585527,0.058370255,0.0966966,0.195542186,0.167497754,0.155290887,0.138213158,0.081091188,0.089598767,0.142920762,0.190734059,0.24863635,0.139136329,0.325555563,-0.017995534,-0.009598955,-0.001879715,0.060556326,0.065755256,0.103136405,0.103939734,0.104892284,0.061267186,0.041628517,0.071884364,0.093964346,0.119210124,0.11790581,0.11166282,0.155210897,0.009026511,5
1709,0.0,0.000612685,4.010512162,9.074986316,22.27269963,34.40935233,49.05268305,46.8822631,42.38622161,19.8559527,15.12772865,43.91830153,58.9403193,73.69286704,68.90728299,54.61500173,68.22260569,0,0.008904269,0.010014566,0.012517458,0.059338789,0.099352539,0.207699195,0.16988118,0.153392524,0.150316566,0.084513307,0.103869945,0.144810751,0.189922228,0.238659963,0.166277051,0.343219817,-0.020227449,-0.007829,6.84e-05,0.06567362,0.072201297,0.111013189,0.108526714,0.105091892,0.05894864,0.046616122,0.081582941,0.104820341,0.130213901,0.118106551,0.13142322,0.162525818,0.017858541,5
1710,0.0,0.000612685,3.418897445,7.351318397,17.49672306,28.18377054,41.86599353,39.23941855,36.29018457,14.08868584,10.04393014,31.35861995,46.7680731,62.14174049,54.17145929,36.68953428,56.78796023,0,0.008299795,0.009422189,0.012087291,0.051580507,0.08911375,0.175197527,0.154000387,0.14534089,0.132205233,0.093327284,0.097761318,0.14267315,0.149758235,0.201904446,0.144999921,0.268811733,-0.018586423,-0.006978968,-0.001206571,0.051468618,0.057790685,0.091230981,0.088150688,0.089986056,0.047448475,0.03545028,0.060281504,0.084240362,0.098144725,0.087882243,0.092624709,0.12637502,0.007867723,5
1711,0.0,0.023282031,3.901578277,9.179698217,21.02179546,33.34671289,50.14179196,49.54270777,48.42005792,17.813491,12.00257152,38.29723193,56.4482666,62.27493075,58.57204487,45.6912223,59.01855047,0,0.008675188,0.006865551,0.009191939,0.05615744,0.104182579,0.213137478,0.178715035,0.168177605,0.146713942,0.094241187,0.102415688,0.14661096,0.155113384,0.211379752,0.137828067,0.287534475,-0.01562972,-0.005047779,0.005233175,0.060667124,0.070028804,0.111077815,0.117722318,0.1189107,0.062400457,0.047305044,0.075170077,0.101165004,0.078508437,0.094958618,0.107976116,0.131237105,0.00825909,5
1712,0.00122537,0.037986472,3.633418897,8.618198445,20.72310406,35.06515567,52.791393,52.96258957,54.05334553,27.35931201,23.22076979,48.29561946,62.80295725,12.93607168,71.12281645,48.24922091,61.70405522,0,0.007683104,0.00419468,0.010978724,0.057227001,0.115619458,0.201887161,0.200909242,0.171814516,0.164589286,0.110260807,0.112522557,0.150162324,0.172113761,0.236492321,0.14469409,0.310530216,-0.015253182,-0.005113158,0.006172927,0.060609706,0.075678825,0.122309588,0.129782856,0.138399214,0.080087498,0.066649474,0.089582421,0.11821305,0.023587214,0.115557224,0.11065352,0.139008507,0.012664584,5
1713,0.00245074,0.055005501,6.835961374,13.35522715,27.32510288,43.58331918,64.68157927,68.69863594,72.97729005,60.0,50.90538948,74.22157934,83.21633969,78.20723684,87.94840097,53.69658676,62.26704055,0,0.008077323,0.004226471,0.0139386,0.066446498,0.162845731,0.266592294,0.295100123,0.252234608,0.297501057,0.175544709,0.195227221,0.242481291,0.239792481,0.329318076,0.174528345,0.365750819,-0.016491201,-0.000958836,0.015067023,0.083110459,0.099709235,0.162361085,0.179973602,0.201001868,0.146181062,0.120061755,0.14491646,0.175084621,0.105014838,0.148853019,0.121647544,0.141508415,0.004681441,5
