FID,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19
165,0.295795993,20.65094638,70.68852459,88.09966252,96.52270494,98.46455159,87.49690943,2.085048011,0.158121997,0.34141137
166,0.42493263,20.23580431,72.26874496,92.00471445,96.6848816,99.1080673,97.21742882,1.215668343,0.120713306,0.175758682
167,0.374400716,23.26801628,73.39424886,93.62584378,98.03494383,99.40486496,97.17752373,1.208898668,0.116158852,0.033531474
168,0.235369794,25.19266387,74.73689868,92.75902711,98.76970396,99.76843837,94.79184642,0.942539247,0.172534675,0.083523853
169,0.189631531,24.77210101,76.54501478,93.9708561,98.46746978,99.00774758,85.83069067,0.276787075,0.237182996,0.374333181
170,0.081380446,28.58381895,79.75382962,95.83173139,99.09222948,99.61911357,90.30522002,0.169486359,0.166636259,0.250571559
171,0.148628959,31.64022881,80.66326256,97.07703847,99.2086377,99.62359793,90.27610009,0.11949398,0.132296906,0.202517789
172,0.448308389,33.5587478,81.29105079,97.48526733,99.27912341,98.88222819,81.98554789,0.144490169,0.161770966,0.256668191
173,0.552607342,37.79554592,83.86455254,97.77992071,98.98116109,99.2544581,75.73770492,0.105471727,0.110958695,0.238378296
174,0.431267634,36.4426074,83.6001075,97.95992714,99.1374692,99.17330332,76.43766178,0.079256211,0.163595451,0.243865264
175,1.118826035,42.43174165,81.59849503,96.51629715,97.7369815,97.85426766,55.62553926,0.032921811,0.121632306,0.192653559
176,1.776725192,45.92672901,85.60494491,98.38101361,97.40804819,90.28796376,34.29141501,0.060966316,0.226794696,0.317024844
177,2.28530307,46.2641731,88.63316313,98.87603129,99.23106498,96.75164474,56.46976619,0.156073769,0.361856109,0.343611263
178,0.815753695,38.94113927,85.07497984,97.20240009,96.17668418,84.3511946,61.51315789,0.088619973,0.201301466,0.165218717
179,1.00044345,36.70196222,80.96210696,94.5655202,98.75475245,97.64759349,79.01315789,0.063404969,0.140222527,0.128638927
180,0.796938666,34.40484257,78.99489385,92.20064932,98.50591653,99.40789474,79.21160483,0.100594422,0.175758682,0.173144338
181,0.328455821,25.6785876,75.40553615,94.69712443,95.29626058,97.57333909,93.4221347,3.254381954,0.129219345,0.148148148
182,0.372455777,20.14848348,67.22063961,88.83638701,93.21332905,97.0470233,88.04141501,0.824874257,0.157125871,0.205456485
183,0.329667124,17.07062019,67.12819135,90.56382693,95.67105617,98.66917495,95.55812846,1.211400701,0.121632306,0.128930244
184,0.314871238,26.47377693,73.8081161,92.43859178,98.70995393,99.43377912,96.95940097,0.461435032,0.149845907,0.182289285
185,0.309731501,26.01539158,75.11959151,92.07847353,98.64888032,99.58908542,95.13612361,0.504801097,0.279754303,0.26032617
186,0.147489763,27.36894522,79.34211234,96.25369524,98.85138755,98.97433132,80.30629853,0.087791495,0.223858866,0.207895138
187,0.076338847,30.08239022,82.18328406,97.55598414,99.56819886,99.44887834,84.52865305,0.070720927,0.162585843,0.237768633
188,0.166292266,34.77210101,83.38511153,98.10803547,99.67105968,99.81402849,89.03003809,0.103033074,0.136836344,0.158121997
189,0.315356401,34.50928022,81.76834184,97.28890083,99.43533698,99.05198447,81.26298476,0.078036885,0.160765852,0.199359854
190,0.408437144,39.25260299,84.89438323,98.7465735,99.48462445,99.58045729,78.06298533,0.181069959,0.155689351,0.27190977
191,0.459978022,41.38207334,83.4775598,98.24670787,99.55925826,99.03904228,67.87136427,0.067062948,0.119512728,0.24874257
192,1.062023327,44.40439084,82.46492878,96.47701704,98.13457623,98.07592752,66.26666378,0.0926688,0.148025917,0.290199665
