FID,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19
1094,0.367268917,26.58397465,77.80166622,98.18220908,98.91494724,99.71866343,96.06669841,3.034293553,0.134125895,0.324950465,-0.006368716,0.046767171,0.186991915,0.33307898,0.289762795,0.302724689,0.236340746,0.029134989,-0.022777971,-0.048402321
1095,0.345712869,31.55998189,84.59446385,99.35071217,99.59203725,99.81063885,98.0706804,3.287913428,0.172109712,0.338363054,-0.006218363,0.057014871,0.203894153,0.330966085,0.293761164,0.298746437,0.230630666,0.027001141,-0.02162203,-0.052062735
1096,0.363217318,37.24535989,88.62026337,99.66245633,99.64009569,99.8777268,97.86561691,1.046181984,0.127713921,0.189138235,-0.006765166,0.068731204,0.213582322,0.315002352,0.282424718,0.279883534,0.212758243,0.012853748,-0.027739882,-0.059880964
1097,0.46624231,34.71924832,88.0214996,99.16425587,99.1663988,99.51956371,95.59924688,0.674287456,0.187776254,0.185947264,-0.006324439,0.067748889,0.208466619,0.295876056,0.25761658,0.251605272,0.175670773,0.002908268,-0.022999048,-0.056123413
1098,0.302924215,35.68492531,87.31416286,99.22063961,99.90388312,99.91048318,98.78808864,2.97210791,0.41780697,0.600518214,-0.007907937,0.069218442,0.208542243,0.299054325,0.251537442,0.248947904,0.169950917,0.015556608,-0.02018537,-0.054827753
1099,0.363217318,34.2937981,86.44020425,99.10454179,99.80563031,99.93182999,98.49917763,2.733729614,0.354214297,0.415790276,-0.005027842,0.068622917,0.199063435,0.279132992,0.247391388,0.251608908,0.176641285,0.017695172,-0.025145518,-0.056623444
1100,0.60014749,33.30013581,83.50658425,99.09594195,99.62407621,99.85716759,98.21721311,1.966773358,0.19521985,0.249352233,-0.004540185,0.063790597,0.190439567,0.275950402,0.240909651,0.262108415,0.176639244,0.021404466,-0.025375502,-0.048010245
1101,0.806177126,32.7094909,85.546896,99.50013437,99.661455,99.90910665,98.68529259,1.308946807,0.166636259,0.174973327,-0.003729209,0.060502362,0.193853706,0.278439969,0.240205482,0.262540877,0.167875648,0.018076206,-0.022592431,-0.045737553
1102,0.543124155,30.72430964,78.13813491,97.75634844,99.64223162,99.94697888,99.04345568,1.162449578,0.198140527,0.279754303,-0.004457594,0.05183886,0.167473987,0.253708661,0.237978324,0.244735807,0.158771023,0.015119057,-0.017645385,-0.042938743
1103,1.185254905,33.88365776,86.39183015,99.69685568,99.88465975,99.97842968,98.99909107,1.336991312,0.350909201,0.192653559,3.98E-05,0.059427753,0.183506683,0.264695644,0.238726735,0.236452848,0.173322618,0.017086031,-0.014071786,-0.048564482
1104,0.788186442,30.79311906,85.5361462,98.92394518,98.04562348,98.7296572,94.85655738,0.598689224,0.144742444,0.16582838,0.002105629,0.055080377,0.177754298,0.2443396,0.215542495,0.213091969,0.16050905,0.008501827,-0.021832125,-0.047643349
1105,0.376487027,31.03123585,84.20102123,99.55388336,99.40962177,99.67321676,98.26545187,0.754762993,0.229843012,0.257277854,-0.006025412,0.055268005,0.170975864,0.242183328,0.21598199,0.216845423,0.167507708,0.009512702,-0.017356737,-0.049067166
1106,0.578133053,32.92090166,85.15022843,99.40338619,99.51941561,99.7673563,95.63279086,0.502362445,0.265766588,0.46090535,-0.00484732,0.056156814,0.172056273,0.233301803,0.206513911,0.20338428,0.143082142,-0.003333623,-0.024562875,-0.052239563
1107,0.465812839,32.07876867,81.80919108,98.1292189,98.97048144,99.5379588,94.38084314,0.371894528,0.245694254,0.356382655,-0.006446742,0.054158781,0.170818508,0.219161242,0.20171845,0.202848583,0.143979385,-0.006575861,-0.028578244,-0.057321969
1108,0.704942848,37.2516976,84.46546627,97.55549583,99.22572515,98.81471096,74.61389129,0.125590611,0.164203612,0.270690444,-0.004565034,0.06671866,0.17958352,0.238118485,0.19831422,0.190038651,0.120388873,-0.008695308,-0.029866453,-0.050739504
1109,0.600013615,38.64735174,82.96909433,97.57807041,99.57601777,98.46346953,74.76194598,0.085352843,0.101562975,0.344459686,-0.006476752,0.073434964,0.174361154,0.238260701,0.190848783,0.185268536,0.124690212,-0.008098327,-0.026793072,-0.044107161
1110,0.618004298,37.81090482,84.89868315,98.20693362,99.8184459,99.18195983,68.53575139,0.128029264,0.174973327,0.348117665,-0.004871222,0.073666021,0.179488152,0.235119477,0.194115251,0.184898779,0.117768668,-0.009253729,-0.023725608,-0.044979498
1111,0.539987192,35.40063377,83.62805697,97.75006719,99.68815413,98.98177805,69.87751039,0.076207895,0.130754728,0.30848956,-0.00572714,0.067388035,0.179038614,0.235753,0.195131078,0.186073154,0.119636141,-0.007027461,-0.031787354,-0.047587845
1112,1.053670586,34.12132187,84.79118517,98.16029144,99.72232902,98.7296572,56.24137187,0.03657979,0.092440552,0.337143728,-0.003894025,0.063594893,0.176798418,0.233588412,0.193161502,0.176552266,0.099304393,-0.00945804,-0.033836659,-0.04910982
1113,0.915579932,33.35083748,87.2958882,98.83472185,99.77177756,98.70685936,61.89729051,0.026215516,0.095717116,0.335097002,-0.006327748,0.058792256,0.18561089,0.250238299,0.194501728,0.181898817,0.105187982,-0.013264368,-0.038422823,-0.057793751
1114,1.156630247,31.41301893,80.63423811,96.51491535,99.65077534,98.95905471,66.48307652,0.055005501,0.221370796,0.444444444,-0.002986121,0.054587673,0.170110047,0.231771097,0.198951885,0.190450639,0.11397215,-0.016959108,-0.036086217,-0.060204566
1115,1.931324212,32.90086012,84.21929589,97.99946251,99.62834807,99.1083795,64.05600762,0.056089011,0.234720317,0.568206066,-0.001168912,0.054987621,0.178366095,0.240431443,0.202212408,0.196045727,0.117671594,-0.019757183,-0.036319561,-0.05410023
