,0cc19,27cc19,53cc19,63cc19,77cc19,90cc19,97cc19,103cc19,105cc19,108cc19,0eg19,27eg19,53eg19,63eg19,77eg19,90eg19,97eg19,103eg19,105eg19,108eg19,labels
987,0.160324352,23.57591363,67.18839022,92.63316313,93.15647828,95.33973253,93.06397161,1.180917543,0.09281953,0.19521985,-0.009291006,0.038927138,0.157836959,0.261599094,0.258508563,0.290250897,0.261712193,0.01643182,-0.033530615,-0.052137457,0
1022,0.250410868,24.19660928,71.91722655,92.33431873,94.12832671,96.1755824,94.31298533,1.173601585,0.108252752,0.209724127,-0.010899434,0.039687268,0.169522017,0.266151935,0.27575779,0.304961652,0.26306349,0.023491509,-0.032428473,-0.052419219,0
1057,0.333318714,26.78276189,74.45525396,95.11959151,94.3458695,96.33951682,94.90023373,1.360768176,0.084932903,0.17741198,-0.006396221,0.045814995,0.179331407,0.297267497,0.276962429,0.295768201,0.257808149,0.017691631,-0.030290095,-0.05432725,0
1092,0.236274719,24.94929833,71.53345875,95.49341048,95.20803964,96.53523199,95.36345988,0.750495351,0.102423411,0.216430422,-0.00902621,0.043390766,0.172801763,0.288919032,0.288129061,0.296926439,0.246241748,0.015193091,-0.03365102,-0.060312297,0
1128,0.114751388,19.97691263,66.50040312,92.91405015,96.89756077,98.05543572,93.66264021,2.010059442,0.072371222,0.251181222,-0.00713077,0.031777479,0.160664335,0.265993714,0.302362591,0.308725297,0.255753845,0.024258208,-0.027647678,-0.06209673,0
1129,0.191999376,18.93888061,66.09406074,96.49737491,92.14191123,94.85729643,94.4717365,2.75994513,0.058846369,0.224965706,-0.011755506,0.031061461,0.152223468,0.300918311,0.273156643,0.277434975,0.252065301,0.029924449,-0.024709659,-0.050916839,0
1165,0.20369477,24.30479488,71.93550121,96.84385918,91.90695886,94.28494392,85.18334771,1.809480262,0.084932903,0.252387034,-0.008566979,0.042202748,0.166529983,0.303720981,0.276400387,0.28248018,0.209824115,0.01480809,-0.027390879,-0.051230498,0
1200,0.13565948,23.48076053,68.42784198,94.21230852,98.76756803,99.6212777,94.53774238,0.9864229,0.149607736,0.40199477,-0.011700493,0.042989906,0.16226168,0.272989988,0.308918238,0.307245553,0.228567511,0.011310655,-0.035354685,-0.059931941,0
1237,0.163735509,22.45812585,67.34211234,97.14377855,99.50766799,99.87556267,99.36266447,1.137391517,0.10798612,0.446998723,-0.014360404,0.041408047,0.157403037,0.292965442,0.323715568,0.323220223,0.250465602,0.018424951,-0.036607068,-0.059160523,0
1469,0.211998327,33.65406333,76.5708143,96.82020962,99.77786322,99.85500346,97.43313201,0.957171163,0.130754728,0.268251791,-0.011415901,0.056672655,0.170641512,0.263237208,0.256716669,0.263050646,0.211746782,0.014361506,-0.023392458,-0.054773293,0
1472,0.21540197,29.9250364,80.5708143,96.47273117,98.49780349,99.46762465,95.47886109,0.390184423,0.105211944,0.218259412,-0.008301608,0.050335173,0.176452428,0.272489995,0.231972113,0.260463655,0.166800991,0.004656582,-0.025242019,-0.055260841,0
